"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -23.89 148.41 (DECIMAL DEGREES), 23 54'S 148 24'E "
" * Elevation: 185 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20171101   305  30.3  25  14.0  25    0.0  25   6.7  25  27.0   25   7.1  25   16.4   44.4  1/11/2017
20171102   306  31.0  25  12.6  25    0.0  25   6.6  25  25.3   25   7.6  25   16.9   52.1  2/11/2017
20171103   307  31.9  25  15.1  25    0.0  25   7.4  25  26.6   25  20.2  25   42.7  100.0  3/11/2017
20171104   308  33.0  25  16.9  25    0.0  25   6.8  25  25.6   25  18.1  25   36.0   94.1  4/11/2017
20171105   309  33.3  25  17.6  25    0.0  25   8.0  25  26.7   25  18.8  25   36.7   93.5  5/11/2017
20171106   310  33.5  25  18.9  25    0.0  25   8.0  25  26.8   25  18.3  25   35.4   83.8  6/11/2017
20171107   311  34.9  25  19.3  25    0.0  25   7.9  25  24.7   25  19.0  25   34.0   84.9  7/11/2017
20171108   312  30.0  25  18.6  25    2.7  25   7.6  25  17.7   25  19.0  25   44.8   88.7  8/11/2017
20171109   313  28.7  25  18.3  25    0.3  25   7.6  25  22.2   25  15.0  25   38.1   71.4  9/11/2017
20171110   314  28.4  25  16.5  25    0.0  25   7.6  25  25.1   25  11.2  25   29.0   59.7 10/11/2017
20171111   315  29.8  25  13.0  25    0.0  25   7.2  25  28.8   25  12.2  25   29.1   81.5 11/11/2017
20171112   316  29.6  25  15.9  25    0.0  25   7.5  25  20.6   25  12.7  25   30.6   70.3 12/11/2017
20171113   317  29.9  25  16.2  25    0.0  25   6.0  25  17.2   25  15.5  25   36.7   84.2 13/11/2017
20171114   318  30.7  25  15.6  25    0.0  25   7.1  25  23.9   25  17.1  25   38.7   96.5 14/11/2017
20171115   319  31.2  25  18.4  25    0.0  25   5.9  25  23.7   25  17.0  25   37.4   80.4 15/11/2017
20171116   320  32.8  25  19.0  25    0.0  25   8.0  25  25.6   25  17.1  25   34.4   77.9 16/11/2017
20171117   321  32.6  25  18.3  25    0.0  25   6.8  25  22.2   25  16.8  25   34.2   79.9 17/11/2017
20171118   322  30.0  25  16.8  25   11.3  25   5.9  25  21.6   25  18.8  25   44.3   98.3 18/11/2017
20171119   323  28.2  25  19.2  25   19.7  25   6.1  25  15.8   25  21.1  25   55.2   94.9 19/11/2017
20171120   324  29.0  25  17.9  25    0.4  25   6.0  25  13.6   25  17.7  25   44.2   86.3 20/11/2017
20171121   325  28.9  25  16.3  25    0.0  25   5.8  25  20.7   25  16.0  25   40.2   86.4 21/11/2017
20171122   326  28.9  25  17.4  25    0.7  25   6.1  25  22.3   25  16.6  25   41.7   83.6 22/11/2017
20171123   327  30.9  25  16.1  25    0.9  25   7.4  25  21.8   25  17.1  25   38.3   93.5 23/11/2017
20171124   328  32.9  25  17.5  25    0.0  25   7.0  25  25.3   25  18.1  25   36.2   90.6 24/11/2017
20171125   329  34.1  25  18.9  25    0.0  25   7.7  25  22.7   25  20.1  25   37.6   92.1 25/11/2017
20171126   330  35.0  25  19.7  25    0.0  25   7.2  25  26.1   25  20.5  25   36.5   89.4 26/11/2017
20171127   331  34.5  25  19.9  25    0.0  25   8.8  25  25.9   25  20.2  25   36.9   87.0 27/11/2017
20171128   332  30.3  25  21.1  25    0.0  25   5.6  25  19.7   25  19.9  25   46.1   79.6 28/11/2017
20171129   333  34.1  25  22.0  25    0.0  25   6.6  25  17.4   25  22.7  25   42.4   85.9 29/11/2017
20171130   334  32.4  25  20.7  25   20.8  25   6.5  25  19.1   25  22.6  25   46.5   92.6 30/11/2017
20171201   335  33.2  25  21.2  25    1.9  25   5.4  25  17.5   25  23.1  25   45.4   91.8  1/12/2017
20171202   336  31.9  25  22.4  25    0.1  25   6.0  25  14.3   25  23.4  25   49.5   86.4  2/12/2017
20171203   337  29.5  25  20.4  25   10.4  25   7.5  25  16.0   25  24.1  25   58.5  100.0  3/12/2017
20171204   338  30.3  25  19.3  25   16.0  25   6.1  25  19.8   25  19.0  25   44.0   84.9  4/12/2017
20171205   339  31.6  25  17.1  25    0.8  25   7.7  25  30.0   25  14.1  25   30.3   72.4  5/12/2017
20171206   340  33.2  25  15.5  25    0.0  25   7.7  25  28.1   25  10.4  25   20.4   59.1  6/12/2017
20171207   341  35.4  25  18.0  25    0.0  25   8.9  25  28.4   25  22.2  25   38.6  100.0  7/12/2017
20171208   342  35.6  25  21.4  25    0.0  25   7.1  25  20.4   25  19.7  25   33.9   77.3  8/12/2017
20171209   343  35.5  25  20.1  25    1.1  25   8.8  25  27.0   25  20.0  25   34.6   85.0  9/12/2017
20171210   344  33.7  25  18.2  25    1.9  25   8.7  25  28.2   25  21.8  25   41.7  100.0 10/12/2017
20171211   345  33.2  25  21.4  25    0.0  25   7.2  25  28.5   25  19.5  25   38.3   76.5 11/12/2017
20171212   346  33.2  25  18.6  25    0.0  25   8.3  25  28.1   25  18.3  25   36.0   85.4 12/12/2017
20171213   347  33.6  25  18.1  25    0.0  25   9.2  25  29.2   25  18.9  25   36.3   91.0 13/12/2017
20171214   348  34.6  25  19.9  25    0.0  25   9.0  25  29.0   25  20.2  25   36.7   87.0 14/12/2017
20171215   349  34.8  25  18.7  25    0.0  25   8.5  25  27.0   25  19.4  25   34.9   90.0 15/12/2017
20171216   350  35.3  25  20.1  25    0.0  25   8.3  25  26.3   25  19.5  25   34.1   82.9 16/12/2017
20171217   351  35.5  25  20.8  25    0.0  25   9.9  25  27.4   25  20.1  25   34.8   81.9 17/12/2017
20171218   352  35.2  25  20.0  25    0.0  25  10.0  25  26.9   25  19.8  25   34.8   84.7 18/12/2017
20171219   353  36.0  25  19.7  25    0.0  25  10.0  25  26.6   25  21.4  25   36.0   93.3 19/12/2017
20171220   354  36.9  25  20.8  25    0.0  25   9.4  25  26.2   25  20.8  25   33.3   84.7 20/12/2017
20171221   355  36.3  25  21.4  25    0.0  25   8.9  25  21.6   25  19.7  25   32.6   77.3 21/12/2017
20171222   356  34.3  25  21.9  25    0.0  25   6.1  25  20.4   25  20.0  25   37.0   76.1 22/12/2017
20171223   357  36.3  25  21.6  25    0.0  25   7.7  25  22.7   25  19.4  25   32.1   75.2 23/12/2017
20171224   358  37.6  25  21.4  25    0.0  25  11.5  25  27.5   25  19.1  25   29.5   75.0 24/12/2017
20171225   359  38.9  25  21.8  25    0.0  25   9.2  25  28.6   25  18.0  25   25.9   68.9 25/12/2017
20171226   360  37.5  25  23.7  25    0.0  25   8.2  25  23.5   25  19.7  25   30.5   67.2 26/12/2017
20171227   361  37.3  25  21.4  25    2.5  25   8.8  25  28.2   25  22.7  25   35.6   89.1 27/12/2017
20171228   362  34.6  25  22.3  25    0.5  25   9.7  25  23.0   25  22.9  25   41.6   85.1 28/12/2017
20171229   363  36.3  25  22.3  25    0.0  25   9.3  25  25.5   25  21.9  25   36.3   81.4 29/12/2017
20171230   364  38.7  25  21.9  25    0.0  25   8.4  25  25.4   25  21.8  25   31.7   83.0 30/12/2017
20171231   365  40.5  25  24.7  25    0.0  25   8.6  25  22.3   25  24.7  25   32.6   79.4 31/12/2017
20180101     1  37.9  25  23.5  25    4.9  25   7.5  25  24.8   25  27.3  25   41.4   94.3  1/01/2018
20180102     2  38.4  25  24.0  25    1.8  25   8.5  25  22.1   25  28.5  25   42.1   95.5  2/01/2018
20180103     3  39.7  25  22.8  25    3.3  25   9.0  25  29.2   25  25.8  25   35.5   93.0  3/01/2018
20180104     4  38.0  25  25.3  25    0.0  25   7.3  25  24.6   25  26.1  25   39.4   81.0  4/01/2018
20180105     5  32.3  25  20.2  25   12.2  25   7.3  25  16.8   25  24.4  25   50.5  100.0  5/01/2018
20180106     6  34.5  25  22.5  25    0.0  25   8.4  25  25.4   25  24.6  25   45.0   90.3  6/01/2018
20180107     7  34.3  25  21.7  25    0.0  25   9.5  25  25.1   25  21.3  25   39.4   82.1  7/01/2018
20180108     8  34.6  25  20.1  25    0.0  25   9.0  25  27.7   25  19.4  25   35.3   82.5  8/01/2018
20180109     9  35.8  25  21.1  25    0.0  25   8.9  25  28.0   25  22.4  25   38.1   89.6  9/01/2018
20180110    10  35.7  25  21.7  25    0.0  25   9.6  25  27.4   25  21.9  25   37.5   84.4 10/01/2018
20180111    11  35.7  25  21.2  25    0.0  25   8.9  25  28.3   25  21.0  25   35.9   83.4 11/01/2018
20180112    12  36.9  25  21.3  25    0.0  25   9.8  25  27.6   25  20.2  25   32.4   79.8 12/01/2018
20180113    13  40.2  25  21.7  25    0.0  25   9.5  25  22.8   25  19.7  25   26.4   75.9 13/01/2018
20180114    14  41.1  25  25.3  25    0.0  25  11.0  25  25.3   25  21.0  25   26.9   65.1 14/01/2018
20180115    15  36.0  25  22.4  25    3.4  25   9.8  25  21.2   25   7.1  25   11.9   26.2 15/01/2018
20180116    16  35.1  25  21.3  25    0.0  25   8.2  25  27.2   25  19.5  25   34.5   77.0 16/01/2018
