"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -32.93 148.01 (DECIMAL DEGREES), 32 56'S 148 01'E "
" * Elevation: 291 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20161101   306  21.9  25   2.8  25    0.0  25   6.3  25  24.1   25   8.7  25   33.1  100.0  1/11/2016
20161102   307  23.0  25   4.4  25    0.0  25   5.6  25  27.7   25  10.6  25   37.7  100.0  2/11/2016
20161103   308  26.0  25   5.6  25    0.0  25   6.2  25  27.5   25  12.0  25   35.7  100.0  3/11/2016
20161104   309  29.1  25   6.8  25    0.0  25   6.7  25  28.5   25  11.7  25   29.0  100.0  4/11/2016
20161105   310  20.0  25  11.4  25    0.0  25   6.6  25  28.3   25   8.8  25   37.7   65.3  5/11/2016
20161106   311  23.7  25   5.6  25    0.0  25   7.0  25  29.1   25   6.6  25   22.5   72.6  6/11/2016
20161107   312  31.4  25   6.6  25    0.0  25   8.1  25  27.2   25  10.0  25   21.8  100.0  7/11/2016
20161108   313  30.7  25  13.6  25    0.0  25   4.8  25  19.6   25  10.2  25   23.1   65.5  8/11/2016
20161109   314  23.8  25  11.5  25    0.0  25   2.6  25  15.1   25  14.7  25   49.9  100.0  9/11/2016
20161110   315  29.4  25  10.4  25    1.1  25   6.9  25  26.4   25  15.9  25   38.8  100.0 10/11/2016
20161111   316  32.7  25  12.7  25    0.0  25   9.8  25  26.3   25  11.7  25   23.7   79.7 11/11/2016
20161112   317  31.3  25  17.4  25   42.0  25   6.1  25  25.2   25  21.5  25   47.0  100.0 12/11/2016
20161113   318  22.1  25  11.0  25    0.0  25   7.2  25  20.6   25  12.0  25   45.1   91.5 13/11/2016
20161114   319  18.5  25  11.1  25    0.1  25   3.1  25  20.2   25  13.1  25   61.5   99.2 14/11/2016
20161115   320  23.1  25   6.6  25    0.4  25   4.7  25  30.9   25   9.6  25   34.0   98.6 15/11/2016
20161116   321  28.2  25   8.8  25    0.0  25   6.8  25  30.2   25  13.0  25   34.0  100.0 16/11/2016
20161117   322  30.4  25  13.4  25    0.0  25   7.0  25  28.6   25  14.4  25   33.2   93.7 17/11/2016
20161118   323  34.5  25  15.1  25    0.0  25   7.6  25  27.1   25  12.2  25   22.3   71.1 18/11/2016
20161119   324  34.8  25  14.8  25    0.0  25   7.0  25  23.3   25  13.3  25   23.9   79.1 19/11/2016
20161120   325  35.1  25  20.0  25    1.5  25   7.3  25  25.1   25  15.4  25   27.2   65.9 20/11/2016
20161121   326  35.3  25  17.7  25    0.0  25  10.4  25  25.8   25  13.4  25   23.4   66.2 21/11/2016
20161122   327  35.3  25  19.9  25    0.0  25   8.1  25  24.0   25   9.6  25   16.8   41.3 22/11/2016
20161123   328  22.8  25  15.2  25    0.1  25   4.6  25  14.0   25  14.9  25   53.7   86.3 23/11/2016
20161124   329  23.7  25   6.6  25    0.3  25   7.7  25  27.8   25   8.7  25   29.7   89.3 24/11/2016
20161125   330  25.7  25   7.5  25    0.0  25   6.1  25  28.8   25   9.3  25   28.2   89.8 25/11/2016
20161126   331  27.4  25   7.6  25    0.0  25   8.4  25  31.1   25   9.2  25   25.2   88.2 26/11/2016
20161127   332  30.2  25   8.6  25    0.0  25   6.9  25  29.6   25   9.8  25   22.8   87.8 27/11/2016
20161128   333  31.8  25  10.9  25    0.0  25   8.6  25  29.2   25  12.9  25   27.4   99.0 28/11/2016
20161129   334  32.7  25   9.2  25    0.0  25   8.6  25  27.0   25   8.6  25   17.4   74.0 29/11/2016
20161130   335  35.7  25  14.0  25    0.0  25  10.9  25  24.6   25  14.3  25   24.5   89.5 30/11/2016
20161201   336  34.3  25  14.9  25    0.0  25   9.3  25  27.5   25  11.7  25   21.6   69.1  1/12/2016
20161202   337  33.9  25  13.7  25    0.0  25   6.2  25  24.1   25  10.0  25   18.9   63.8  2/12/2016
20161203   338  37.1  25  13.7  25    0.0  25   9.3  25  30.0   25  13.0  25   20.6   83.0  3/12/2016
20161204   339  38.5  25  16.4  25    0.0  25   6.9  25  19.9   25  17.6  25   25.9   94.4  4/12/2016
20161205   340  35.9  25  24.2  25    0.0  25   5.7  25  21.3   25  18.1  25   30.6   60.0  5/12/2016
20161206   341  25.0  25  21.7  25    0.7  25   4.8  25  12.0   25  23.6  25   74.5   91.0  6/12/2016
20161207   342  30.9  25  11.5  25    1.5  25   7.0  25  25.2   25  13.0  25   29.1   95.9  7/12/2016
20161208   343  35.6  25  13.5  25    0.0  25   9.4  25  23.5   25  15.9  25   27.4  100.0  8/12/2016
20161209   344  22.9  25  10.1  25    5.2  25   6.8  25  26.8   25  10.8  25   38.7   87.4  9/12/2016
20161210   345  29.2  25   6.9  25    0.0  25   7.4  25  30.4   25   9.3  25   23.0   93.5 10/12/2016
20161211   346  32.8  25   8.7  25    0.0  25   7.3  25  25.0   25  11.8  25   23.7  100.0 11/12/2016
20161212   347  36.3  25  15.4  25    0.0  25   8.5  25  27.2   25  15.2  25   25.2   86.9 12/12/2016
20161213   348  37.4  25  21.0  25    0.0  25  12.0  25  26.0   25  12.3  25   19.2   49.5 13/12/2016
20161214   349  34.9  25  23.0  25    0.0  25   5.9  25  17.1   25  10.4  25   18.6   37.0 14/12/2016
20161215   350  26.9  25  19.6  25    1.7  25   3.9  25   8.1   25  22.5  25   63.5   98.7 15/12/2016
20161216   351  28.3  25  17.1  25    2.2  25   4.5  25   9.2   25  20.2  25   52.5  100.0 16/12/2016
20161217   352  32.5  25  17.5  25   16.3  25   8.6  25  24.7   25  22.1  25   45.2  100.0 17/12/2016
20161218   353  27.8  25  11.4  25    0.0  25   7.4  25  23.0   25  10.0  25   26.8   74.2 18/12/2016
20161219   354  30.9  25  13.8  25    0.0  25   7.8  25  28.0   25  12.8  25   28.7   81.2 19/12/2016
20161220   355  36.4  25  16.8  25    0.0  25   9.2  25  24.7   25  17.1  25   28.2   89.4 20/12/2016
20161221   356  31.4  25  14.0  25    0.1  25   8.2  25  28.9   25   8.2  25   17.8   51.3 21/12/2016
20161222   357  33.5  25  13.0  25    0.0  25   8.3  25  28.9   25  13.7  25   26.5   91.5 22/12/2016
20161223   358  35.7  25  18.5  25    0.0  25   8.3  25  28.0   25  16.9  25   28.9   79.4 23/12/2016
20161224   359  31.6  25  19.5  25    0.1  25   7.2  25  22.4   25  16.1  25   34.6   71.1 24/12/2016
20161225   360  32.9  25  15.9  25    0.4  25   7.8  25  28.5   25  16.7  25   33.4   92.5 25/12/2016
20161226   361  33.9  25  19.2  25    0.0  25   8.8  25  24.4   25  18.7  25   35.3   84.1 26/12/2016
20161227   362  36.0  25  19.8  25    0.0  25   7.9  25  22.3   25  16.9  25   28.4   73.2 27/12/2016
20161228   363  36.1  25  21.0  25    0.0  25  10.7  25  23.7   25  16.5  25   27.6   66.4 28/12/2016
20161229   364  39.3  25  23.5  25    0.0  25   8.7  25  22.4   25  12.6  25   17.7   43.5 29/12/2016
20161230   365  37.6  25  24.9  25    0.0  25   6.6  25  10.1   25  19.8  25   30.5   62.9 30/12/2016
20161231   366  35.3  25  22.0  25   24.0  25   8.8  25  27.1   25  25.4  25   44.4   96.1 31/12/2016
20170101     1  27.8  25  21.0  25    0.0  25   3.8  25  14.4   25  19.4  25   51.9   78.0  1/01/2017
20170102     2  31.5  25  17.4  25    0.0  25   9.0  25  21.8   25  15.7  25   34.0   79.0  2/01/2017
20170103     3  32.7  25  17.2  25    0.0  25   9.4  25  29.7   25  16.0  25   32.3   81.6  3/01/2017
20170104     4  31.5  25  18.4  25    0.0  25   5.8  25  21.9   25  15.1  25   32.7   71.4  4/01/2017
20170105     5  33.1  25  18.0  25    0.0  25   7.8  25  27.6   25  16.6  25   32.8   80.5  5/01/2017
20170106     6  34.7  25  20.5  25    0.0  25   9.6  25  30.4   25  15.8  25   28.6   65.5  6/01/2017
20170107     7  34.6  25  18.7  25    0.0  25   8.9  25  29.9   25  14.9  25   27.1   69.1  7/01/2017
20170108     8  37.0  25  20.3  25    0.0  25   7.2  25  21.0   25  16.9  25   26.9   71.0  8/01/2017
20170109     9  39.8  25  22.4  25    0.0  25   9.9  25  26.3   25  14.9  25   20.4   55.0  9/01/2017
20170110    10  36.3  25  24.3  25    1.3  25   7.3  25  13.9   25  19.1  25   31.6   62.9 10/01/2017
20170111    11  38.5  25  24.6  25    0.0  25   9.8  25  19.9   25  18.8  25   27.6   60.8 11/01/2017
20170112    12  39.1  25  17.6  25    0.0  25  10.2  25  28.5   25  10.9  25   15.5   54.2 12/01/2017
20170113    13  44.5  25  20.3  25    0.0  25  26.1  25  23.5   25  20.6  25   22.1   86.5 13/01/2017
20170114    14  31.7  25  21.9  25    0.1  25  10.9  25  22.1   25  19.0  25   40.6   72.3 14/01/2017
20170115    15  34.4  25  12.9  25    0.0  25   9.9  25  29.0   25  10.9  25   20.0   73.3 15/01/2017
20170116    16  38.0  25  16.4  25    0.0  25   9.3  25  29.1   25  16.6  25   25.1   89.1 16/01/2017
