"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -28.96 150.08 (DECIMAL DEGREES), 28 58'S 150 05'E "
" * Elevation: 228 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20181101   305  34.9  25  17.8  25    0.0  25   9.2  25  25.1   25  17.3  25   30.9   84.9  1/11/2018
20181102   306  33.6  25  18.3  25    0.0  25  10.2  25  26.0   25  14.7  25   28.3   69.9  2/11/2018
20181103   307  36.7  25  20.1  25    0.0  25  10.1  25  24.3   25  14.5  25   23.5   61.7  3/11/2018
20181104   308  37.5  25  18.8  25    2.0  25  11.0  25  25.8   25  17.5  25   27.1   80.7  4/11/2018
20181105   309  40.3  25  17.3  25    0.0  25  11.1  25  28.9   25   9.7  25   12.9   49.1  5/11/2018
20181106   310  42.3  25  24.0  25    0.0  25  10.2  25  19.9   25  15.6  25   18.7   52.3  6/11/2018
20181107   311  38.0  25  24.7  25    1.4  25   9.2  25  19.0   25  16.9  25   25.5   54.3  7/11/2018
20181108   312  23.6  25  12.0  25    8.7  25   5.3  25  25.8   25  11.7  25   40.2   83.5  8/11/2018
20181109   313  27.5  25   9.7  25    0.0  25   6.3  25  25.2   25  11.3  25   30.8   94.0  9/11/2018
20181110   314  29.5  25  14.5  25    0.0  25   7.2  25  27.2   25  11.8  25   28.6   71.5 10/11/2018
20181111   315  31.4  25  16.1  25    0.0  25   7.5  25  25.0   25  14.5  25   31.6   79.3 11/11/2018
20181112   316  32.7  25  15.6  25    0.0  25   9.9  25  28.1   25  10.7  25   21.6   60.4 12/11/2018
20181113   317  32.5  25  15.5  25    0.0  25   6.9  25  23.5   25  11.2  25   22.9   63.6 13/11/2018
20181114   318  29.1  25  18.4  25    0.0  25   6.1  25  15.6   25  12.9  25   32.0   61.0 14/11/2018
20181115   319  34.6  25  16.1  25    0.0  25   8.7  25  24.8   25  16.8  25   30.5   91.9 15/11/2018
20181116   320  36.3  25  18.5  25    0.0  25   9.1  25  27.9   25  16.5  25   27.3   77.5 16/11/2018
20181117   321  35.2  25  18.9  25    0.0  25   8.5  25  22.9   25  16.7  25   29.4   76.5 17/11/2018
20181118   322  33.4  25  19.6  25    0.0  25   8.1  25  23.3   25  13.7  25   26.6   60.1 18/11/2018
20181119   323  29.5  25  16.7  25    0.0  25   8.0  25  22.8   25  14.3  25   34.7   75.3 19/11/2018
20181120   324  31.1  25  16.4  25    0.0  25   5.3  25  25.1   25  14.6  25   32.3   78.3 20/11/2018
20181121   325  26.1  25  20.6  25    0.6  25  10.1  25  15.4   25  19.1  25   56.5   78.8 21/11/2018
20181122   326  25.9  25  19.2  25   33.2  25   9.7  25  21.4   25  18.0  25   53.9   80.9 22/11/2018
20181123   327  25.4  25  11.0  25    0.0  25  10.0  25  30.5   25   6.8  25   21.0   51.8 23/11/2018
20181124   328  26.6  25  11.1  25    0.0  25   9.5  25  30.2   25   6.3  25   18.1   47.7 24/11/2018
20181125   329  30.2  25  14.9  25    0.0  25   9.2  25  27.7   25   8.1  25   18.9   47.8 25/11/2018
20181126   330  31.1  25  13.2  25    0.0  25   8.2  25  31.8   25   8.1  25   17.9   53.4 26/11/2018
20181127   331  34.0  25  15.9  25    0.0  25   8.6  25  21.4   25  11.1  25   20.9   61.5 27/11/2018
20181128   332  28.8  25  20.3  25    1.2  25   9.5  25  21.9   25  17.7  25   44.7   74.3 28/11/2018
20181129   333  29.9  25  14.6  25    0.0  25   8.4  25  29.6   25  13.7  25   32.5   82.5 29/11/2018
20181130   334  33.1  25  13.9  25    0.0  25   9.5  25  28.6   25  11.8  25   23.3   74.3 30/11/2018
20181201   335  35.8  25  13.9  25    0.0  25   9.3  25  29.4   25  10.4  25   17.7   65.5  1/12/2018
20181202   336  40.2  25  18.4  25    0.0  25  12.3  25  28.8   25  12.3  25   16.5   58.1  2/12/2018
20181203   337  33.2  25  17.8  25    0.0  25   9.1  25  28.6   25   7.0  25   13.8   34.4  3/12/2018
20181204   338  34.0  25  16.2  25    0.0  25   9.3  25  20.6   25   9.9  25   18.6   53.8  4/12/2018
20181205   339  34.3  25  18.1  25    0.0  25  10.9  25  29.8   25  14.4  25   26.6   69.4  5/12/2018
20181206   340  33.2  25  17.2  25    0.0  25   9.3  25  26.8   25  13.0  25   25.6   66.3  6/12/2018
20181207   341  32.4  25  16.5  25    0.0  25  10.0  25  24.9   25  11.8  25   24.3   62.9  7/12/2018
20181208   342  32.8  25  16.1  25    0.0  25   8.8  25  23.3   25  12.7  25   25.5   69.4  8/12/2018
20181209   343  35.0  25  17.3  25    0.0  25   8.8  25  25.0   25  15.7  25   27.9   79.5  9/12/2018
20181210   344  35.7  25  20.3  25    0.0  25  10.1  25  25.9   25  16.1  25   27.5   67.6 10/12/2018
20181211   345  34.9  25  22.5  25    0.0  25   7.5  25  27.3   25  17.2  25   30.8   63.1 11/12/2018
20181212   346  32.8  25  21.9  25    0.0  25   7.9  25  15.4   25  16.1  25   32.4   61.3 12/12/2018
20181213   347  34.9  25  22.8  25    0.0  25   7.9  25  19.7   25  19.0  25   34.0   68.5 13/12/2018
20181214   348  30.4  25  20.3  25   10.1  25   8.3  25  15.2   25  21.1  25   48.6   88.6 14/12/2018
20181215   349  34.2  25  19.6  25    0.4  25   7.9  25  20.0   25  16.7  25   31.0   73.3 15/12/2018
20181216   350  34.2  25  22.3  25    0.0  25   7.3  25  19.6   25  25.0  25   46.5   92.9 16/12/2018
20181217   351  35.0  25  21.8  25    4.6  25   9.8  25  23.8   25  22.2  25   39.5   85.0 17/12/2018
20181218   352  36.8  25  22.1  25    0.0  25   8.6  25  21.9   25  21.5  25   34.6   80.9 18/12/2018
20181219   353  37.9  25  23.5  25    0.0  25  10.4  25  29.1   25  22.2  25   33.7   76.7 19/12/2018
20181220   354  40.2  25  23.5  25    1.6  25  12.9  25  29.1   25  23.2  25   31.1   80.2 20/12/2018
20181221   355  42.5  25  26.3  25    0.0  25   9.6  25  26.8   25  18.8  25   22.3   55.0 21/12/2018
20181222   356  34.4  25  22.0  25    0.0  25  10.4  25  26.4   25  11.7  25   21.5   44.3 22/12/2018
20181223   357  33.4  25  18.2  25    0.0  25   8.0  25  28.1   25  10.7  25   20.8   51.2 23/12/2018
20181224   358  33.1  25  17.1  25    0.0  25   8.2  25  28.3   25  12.8  25   25.3   65.7 24/12/2018
20181225   359  34.3  25  18.9  25    0.0  25   9.5  25  28.2   25  14.7  25   27.2   67.4 25/12/2018
20181226   360  36.8  25  20.4  25    0.0  25  10.7  25  28.2   25  16.4  25   26.4   68.5 26/12/2018
20181227   361  36.7  25  20.1  25    0.0  25  10.0  25  29.6   25  15.2  25   24.6   64.6 27/12/2018
20181228   362  36.5  25  20.0  25    0.0  25  10.2  25  30.6   25  15.1  25   24.7   64.6 28/12/2018
20181229   363  35.9  25  20.2  25    0.0  25  11.6  25  28.1   25  14.4  25   24.4   60.9 29/12/2018
20181230   364  36.7  25  21.1  25    0.0  25   9.7  25  30.0   25  16.3  25   26.4   65.2 30/12/2018
20181231   365  36.8  25  21.6  25    0.0  25  10.0  25  26.3   25  15.7  25   25.3   60.9 31/12/2018
20190101     1  36.7  25  21.8  25    0.0  25   9.9  25  25.6   25  17.6  25   28.5   67.4  1/01/2019
20190102     2  36.9  25  22.1  25    0.0  25  11.8  25  26.3   25  15.9  25   25.5   59.8  2/01/2019
20190103     3  37.4  25  22.7  25    0.0  25   9.4  25  25.4   25  15.5  25   24.2   56.2  3/01/2019
20190104     4  37.4  25  24.4  25    0.0  25   9.5  25  24.8   25  20.8  25   32.4   68.1  4/01/2019
20190105     5  36.7  25  21.8  25    0.0  25  11.4  25  28.7   25  17.7  25   28.7   67.8  5/01/2019
20190106     6  39.0  25  21.8  25    0.0  25   9.6  25  23.3   25  17.3  25   24.7   66.3  6/01/2019
20190107     7  36.2  25  23.3  25    0.0  25  10.0  25  25.7   25  16.9  25   28.1   59.1  7/01/2019
20190108     8  33.6  25  21.1  25    0.0  25   7.8  25  22.6   25  17.4  25   33.4   69.6  8/01/2019
20190109     9  32.2  25  23.1  25    0.0  25   7.4  25  15.5   25  18.7  25   38.9   66.2  9/01/2019
20190110    10  37.5  25  22.2  25    0.0  25  10.5  25  23.6   25  20.8  25   32.3   77.8 10/01/2019
20190111    11  37.4  25  23.6  25    0.0  25  10.0  25  28.3   25  18.3  25   28.5   62.8 11/01/2019
20190112    12  38.5  25  21.8  25    0.0  25  11.3  25  29.4   25  15.0  25   22.0   57.5 12/01/2019
20190113    13  40.0  25  22.7  25    0.0  25  11.4  25  27.7   25  15.0  25   20.3   54.4 13/01/2019
20190114    14  38.5  25  21.3  25    0.0  25  10.6  25  24.3   25  14.9  25   21.9   58.8 14/01/2019
20190115    15  40.2  25  24.1  25    0.0  25  10.6  25  27.8   25  19.1  25   25.6   63.6 15/01/2019
20190116    16  42.3  25  25.7  25    0.0  25  12.5  25  28.4   25  19.4  25   23.3   58.8 16/01/2019
