"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -23.01 147.91 (DECIMAL DEGREES), 23 01'S 147 54'E "
" * Elevation: 260 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20161101   306  38.2  25  21.1  25    0.0  25   9.1  25  25.0   25  17.9  25   26.7   71.6  1/11/2016
20161102   307  32.8  25  21.7  25    0.0  25   8.1  25  25.0   25  13.0  25   26.1   50.1  2/11/2016
20161103   308  31.2  25  20.5  25    0.0  25   5.8  25  13.7   25  21.1  25   46.4   87.5  3/11/2016
20161104   309  25.5  25  17.4  25   16.2  25   5.5  25  20.6   25  19.8  25   60.7   99.7  4/11/2016
20161105   310  33.5  25  16.2  25   10.1  25   8.2  25  24.9   25  21.3  25   41.2  100.0  5/11/2016
20161106   311  35.7  25  18.2  25    0.0  25   7.1  25  29.0   25  19.7  25   33.7   94.3  6/11/2016
20161107   312  36.8  25  17.9  25    0.0  25  10.6  25  28.0   25  13.0  25   20.9   63.4  7/11/2016
20161108   313  34.8  25  20.7  25    0.0  25   8.8  25  24.4   25  14.3  25   25.7   58.6  8/11/2016
20161109   314  36.3  25  19.0  25    0.0  25   9.0  25  26.2   25  19.0  25   31.5   86.5  9/11/2016
20161110   315  37.6  25  22.2  25    0.0  25   8.9  25  26.8   25  22.0  25   33.9   82.2 10/11/2016
20161111   316  38.9  25  20.6  25    0.0  25   8.4  25  20.2   25  16.5  25   23.7   68.0 11/11/2016
20161112   317  36.4  25  23.5  25    2.9  25   6.2  25  21.4   25  22.0  25   36.2   76.0 12/11/2016
20161113   318  37.7  25  24.9  25    0.0  25   8.2  25  19.4   25  19.9  25   30.5   63.2 13/11/2016
20161114   319  32.4  25  22.6  25    0.7  25   8.7  25  27.2   25   5.5  25   11.3   20.1 14/11/2016
20161115   320  31.5  25  12.4  25    0.0  25   8.7  25  31.1   25   7.6  25   16.4   52.8 15/11/2016
20161116   321  33.0  25  13.8  25    0.0  25   8.5  25  28.9   25  13.7  25   27.2   86.9 16/11/2016
20161117   322  32.1  25  16.9  25    0.0  25   9.8  25  26.6   25  15.2  25   31.8   79.0 17/11/2016
20161118   323  31.5  25  16.9  25    0.0  25   8.6  25  24.7   25  12.7  25   27.5   66.0 18/11/2016
20161119   324  32.4  25  16.4  25    0.0  25   9.0  25  23.6   25  15.9  25   32.7   85.3 19/11/2016
20161120   325  33.4  25  18.0  25    0.0  25  10.4  25  27.0   25  17.4  25   33.8   84.4 20/11/2016
20161121   326  32.1  25  16.2  25    0.0  25   7.5  25  22.8   25  14.8  25   31.0   80.4 21/11/2016
20161122   327  33.0  25  16.8  25    0.0  25   8.9  25  26.6   25  14.8  25   29.4   77.4 22/11/2016
20161123   328  36.5  25  18.0  25    0.0  25   8.4  25  26.4   25  17.4  25   28.5   84.4 23/11/2016
20161124   329  37.6  25  19.9  25    0.0  25   9.3  25  29.5   25  18.4  25   28.4   79.2 24/11/2016
20161125   330  37.4  25  22.0  25    0.0  25   8.6  25  25.4   25   9.7  25   15.1   36.7 25/11/2016
20161126   331  28.9  25  23.0  25    0.0  25   6.3  25  12.3   25  21.4  25   53.7   76.2 26/11/2016
20161127   332  32.1  25  17.5  25   11.5  25   6.5  25  20.5   25  20.9  25   43.7  100.0 27/11/2016
20161128   333  33.6  25  19.3  25    0.0  25   8.3  25  25.5   25  19.4  25   37.3   86.7 28/11/2016
20161129   334  35.4  25  17.6  25    0.0  25   7.1  25  26.1   25  18.2  25   31.7   90.5 29/11/2016
20161130   335  37.4  25  18.6  25    0.9  25   9.8  25  26.8   25  18.7  25   29.2   87.3 30/11/2016
20161201   336  39.0  25  20.8  25    0.0  25  10.9  25  27.0   25  14.6  25   20.9   59.5  1/12/2016
20161202   337  41.1  25  21.9  25    0.0  25  10.5  25  26.1   25  14.5  25   18.5   55.2  2/12/2016
20161203   338  41.5  25  21.9  25    0.0  25   9.7  25  24.8   25  14.9  25   18.7   56.7  3/12/2016
20161204   339  39.5  25  23.5  25    0.0  25   9.9  25  25.6   25  19.2  25   26.7   66.3  4/12/2016
20161205   340  40.0  25  21.9  25    0.0  25  10.1  25  27.6   25  16.6  25   22.5   63.2  5/12/2016
20161206   341  38.8  25  22.5  25    0.0  25  11.5  25  25.2   25  19.5  25   28.2   71.6  6/12/2016
20161207   342  39.1  25  21.1  25    0.0  25   9.5  25  21.5   25  18.6  25   26.5   74.4  7/12/2016
20161208   343  39.1  25  22.8  25    0.0  25   8.3  25  26.5   25  21.0  25   29.9   75.7  8/12/2016
20161209   344  34.6  25  22.5  25    0.0  25   6.0  25  19.5   25  18.5  25   33.6   67.9  9/12/2016
20161210   345  29.6  25  21.9  25    3.5  25   5.7  25  15.8   25  21.8  25   52.6   83.0 10/12/2016
20161211   346  24.6  25  19.8  25    4.1  25   4.7  25  11.2   25  22.9  25   74.1   99.2 11/12/2016
20161212   347  28.8  25  19.3  25    8.8  25   7.7  25  12.9   25  21.0  25   53.0   93.8 12/12/2016
20161213   348  31.9  25  19.9  25    0.0  25   7.0  25  22.8   25  20.8  25   44.0   89.6 13/12/2016
20161214   349  33.3  25  19.4  25    0.0  25   8.2  25  22.0   25  20.1  25   39.3   89.3 14/12/2016
20161215   350  35.0  25  20.1  25    0.0  25   9.3  25  24.6   25  21.4  25   38.1   91.0 15/12/2016
20161216   351  35.1  25  21.0  25    0.0  25   6.9  25  25.6   25  22.9  25   40.5   92.1 16/12/2016
20161217   352  35.1  25  23.9  25    0.1  25   6.0  25  21.1   25  24.9  25   44.0   84.0 17/12/2016
20161218   353  34.1  25  22.3  25   14.2  25   7.6  25  27.0   25  25.9  25   48.4   96.2 18/12/2016
20161219   354  32.7  25  22.2  25    0.0  25   8.5  25  25.5   25  21.8  25   44.1   81.5 19/12/2016
20161220   355  34.3  25  21.1  25    0.0  25   8.8  25  27.4   25  21.2  25   39.2   84.8 20/12/2016
20161221   356  35.4  25  22.1  25    0.0  25   6.7  25  20.4   25  18.9  25   32.9   71.1 21/12/2016
20161222   357  32.2  25  22.5  25    0.0  25   7.4  25  22.4   25  23.2  25   48.2   85.2 22/12/2016
20161223   358  34.2  25  22.2  25    0.0  25   7.7  25  16.8   25  20.3  25   37.7   75.9 23/12/2016
20161224   359  33.5  25  19.6  25    4.3  25   6.8  25  22.5   25  21.9  25   42.3   96.1 24/12/2016
20161225   360  34.5  25  19.9  25    0.0  25   6.4  25  25.6   25  19.5  25   35.7   84.0 25/12/2016
20161226   361  33.6  25  20.0  25    0.9  25   7.3  25  22.8   25  21.5  25   41.3   92.0 26/12/2016
20161227   362  33.8  25  19.9  25    0.8  25   6.2  25  20.5   25  21.8  25   41.4   93.9 27/12/2016
20161228   363  34.0  25  22.2  25    0.0  25   7.8  25  23.9   25  21.2  25   39.9   79.2 28/12/2016
20161229   364  35.4  25  20.6  25    0.0  25   8.7  25  26.0   25  22.7  25   39.5   93.6 29/12/2016
20161230   365  35.8  25  21.3  25    0.0  25   7.4  25  16.9   25  22.7  25   38.6   89.7 30/12/2016
20161231   366  35.5  25  21.7  25    0.0  25   7.2  25  23.1   25  24.8  25   42.9   95.6 31/12/2016
20170101     1  37.0  25  23.7  25    0.2  25   6.9  25  25.5   25  24.9  25   39.7   85.0  1/01/2017
20170102     2  35.5  25  24.0  25    0.0  25   5.0  25  19.6   25  24.6  25   42.6   82.5  2/01/2017
20170103     3  31.5  25  22.7  25    6.9  25   5.1  25   9.5   25  26.7  25   57.8   96.8  3/01/2017
20170104     4  29.7  25  21.8  25   18.7  25   5.3  25  12.9   25  23.2  25   55.6   88.9  4/01/2017
20170105     5  28.3  25  22.7  25    0.0  25   6.6  25   8.9   25  22.5  25   58.5   81.6  5/01/2017
20170106     6  28.4  25  21.3  25    0.7  25   5.3  25  11.9   25  21.8  25   56.4   86.1  6/01/2017
20170107     7  31.4  25  21.6  25    0.5  25   7.1  25  14.6   25  22.3  25   48.5   86.5  7/01/2017
20170108     8  32.6  25  20.6  25    0.0  25   6.0  25  18.9   25  20.9  25   42.5   86.2  8/01/2017
20170109     9  34.3  25  19.2  25    0.0  25   7.7  25  26.3   25  21.3  25   39.4   95.8  9/01/2017
20170110    10  35.1  25  22.6  25    0.1  25   8.4  25  24.4   25  24.7  25   43.7   90.1 10/01/2017
20170111    11  36.3  25  20.7  25    0.0  25   8.9  25  23.5   25  23.4  25   38.7   95.9 11/01/2017
20170112    12  36.8  25  21.2  25    0.0  25   7.4  25  20.9   25  25.2  25   40.6  100.0 12/01/2017
20170113    13  38.7  25  24.3  25    0.9  25   9.0  25  26.1   25  26.9  25   39.1   88.6 13/01/2017
20170114    14  33.0  25  22.8  25   26.3  25   4.1  25  22.1   25  28.0  25   55.7  100.0 14/01/2017
20170115    15  35.6  25  24.0  25    0.0  25   5.6  25  22.9   25  28.2  25   48.5   94.5 15/01/2017
20170116    16  35.5  25  23.2  25    0.3  25   8.2  25  24.1   25  27.5  25   47.6   96.7 16/01/2017
