"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -35.07 142.70 (DECIMAL DEGREES), 35 04'S 142 42'E "
" * Elevation: 63 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20141101   305  21.8  25  13.5  25    0.9  25   8.4  25  23.4   25  13.3  25   50.9   86.0  1/11/2014
20141102   306  22.9  25   4.1  25    0.0  25   6.1  25  28.7   25   8.7  25   31.2  100.0  2/11/2014
20141103   307  27.2  25   7.1  25    0.0  25   6.1  25  25.7   25   7.9  25   21.9   78.4  3/11/2014
20141104   308  34.2  25  11.6  25    0.0  25  10.1  25  24.3   25   4.7  25    8.7   34.4  4/11/2014
20141105   309  25.0  25   9.4  25    0.0  25   8.0  25  25.9   25   8.6  25   27.2   73.0  5/11/2014
20141106   310  28.9  25   8.2  25    0.0  25   6.6  25  23.7   25   8.4  25   21.1   77.3  6/11/2014
20141107   311  35.1  25  11.6  25    0.0  25   9.2  25  25.7   25   7.1  25   12.6   52.0  7/11/2014
20141108   312  37.9  25  17.6  25    0.0  25  10.5  25  29.4   25   4.4  25    6.7   21.9  8/11/2014
20141109   313  28.0  25   9.5  25    0.0  25   5.7  25  29.8   25  10.7  25   28.3   90.2  9/11/2014
20141110   314  27.6  25   6.8  25    0.0  25   7.7  25  30.2   25   9.4  25   25.5   95.2 10/11/2014
20141111   315  29.5  25   8.6  25    0.0  25   8.5  25  30.2   25   8.7  25   21.1   77.9 11/11/2014
20141112   316  34.4  25  12.2  25    0.0  25   9.9  25  30.0   25   7.9  25   14.5   55.6 12/11/2014
20141113   317  38.9  25  17.6  25    0.0  25  11.3  25  23.9   25   6.7  25    9.6   33.3 13/11/2014
20141114   318  33.8  25  21.5  25    0.0  25  10.0  25  17.9   25   7.3  25   13.9   28.5 14/11/2014
20141115   319  25.7  25  14.8  25    0.0  25   3.9  25   9.5   25  10.2  25   30.9   60.6 15/11/2014
20141116   320  22.9  25  12.2  25    6.0  25   3.0  25  25.2   25  11.6  25   41.6   81.7 16/11/2014
20141117   321  24.4  25   9.4  25    1.1  25   6.1  25  23.7   25  12.7  25   41.6  100.0 17/11/2014
20141118   322  26.3  25   9.2  25    0.0  25   6.1  25  31.0   25  10.1  25   29.5   86.9 18/11/2014
20141119   323  32.9  25  11.4  25    0.0  25   9.9  25  29.4   25  11.4  25   22.8   84.6 19/11/2014
20141120   324  33.4  25  19.4  25    0.0  25   6.0  25  15.2   25   7.8  25   15.2   34.6 20/11/2014
20141121   325  28.6  25  15.8  25    0.0  25   7.2  25  28.0   25  13.4  25   34.2   74.7 21/11/2014
20141122   326  30.4  25  13.7  25    0.0  25   6.2  25  21.3   25   9.2  25   21.2   58.7 22/11/2014
20141123   327  32.2  25  16.0  25    3.6  25   7.8  25  24.9   25  17.9  25   37.2   98.5 23/11/2014
20141124   328  33.1  25  19.7  25    0.4  25   7.8  25  15.8   25  17.6  25   34.8   76.7 24/11/2014
20141125   329  25.4  25   7.4  25    0.4  25   8.1  25  30.8   25  10.9  25   33.6  100.0 25/11/2014
20141126   330  26.6  25   9.7  25    0.0  25   7.2  25  29.7   25  10.3  25   29.6   85.6 26/11/2014
20141127   331  28.9  25  12.0  25    0.0  25   8.9  25  31.7   25  10.9  25   27.4   77.8 27/11/2014
20141128   332  32.1  25  12.4  25    0.0  25   8.3  25  31.7   25   9.7  25   20.3   67.4 28/11/2014
20141129   333  35.9  25  15.5  25    0.0  25  10.0  25  28.6   25  13.6  25   23.0   77.3 29/11/2014
20141130   334  40.1  25  19.7  25    0.0  25  11.6  25  23.1   25  12.5  25   16.9   54.5 30/11/2014
20141201   335  31.9  25  17.6  25    0.0  25  10.6  25  29.3   25  16.2  25   34.3   80.5  1/12/2014
20141202   336  33.4  25  14.8  25    0.0  25   8.1  25  28.5   25  14.2  25   27.6   84.4  2/12/2014
20141203   337  36.6  25  19.2  25    0.0  25   7.0  25  20.5   25  13.6  25   22.1   61.2  3/12/2014
20141204   338  33.0  25  16.8  25    1.6  25   9.1  25  26.7   25  22.1  25   43.9  100.0  4/12/2014
20141205   339  29.7  25  15.7  25    0.0  25   8.8  25  26.2   25  15.6  25   37.4   87.5  5/12/2014
20141206   340  27.1  25  15.8  25    4.7  25   7.1  25  22.2   25  15.0  25   41.8   83.6  6/12/2014
20141207   341  25.9  25  14.9  25    1.3  25   4.5  25  19.0   25  17.1  25   51.2  100.0  7/12/2014
20141208   342  31.1  25  13.7  25    0.0  25   7.9  25  30.7   25  15.1  25   33.4   96.4  8/12/2014
20141209   343  34.8  25  15.2  25    0.0  25   9.8  25  30.6   25  14.0  25   25.2   81.1  9/12/2014
20141210   344  30.7  25  18.1  25    0.3  25   5.3  25  13.0   25  13.5  25   30.6   65.0 10/12/2014
20141211   345  29.6  25  14.1  25    1.7  25  10.1  25  31.3   25  14.0  25   33.8   87.1 11/12/2014
20141212   346  31.2  25  13.9  25    0.0  25  11.9  25  31.8   25  14.2  25   31.3   89.5 12/12/2014
20141213   347  33.1  25  17.0  25    0.0  25   8.2  25  32.4   25  10.9  25   21.5   56.3 13/12/2014
20141214   348  36.8  25  18.2  25    0.0  25   9.5  25  23.6   25  10.4  25   16.8   49.8 14/12/2014
20141215   349  39.0  25  15.3  25    0.0  25  12.6  25  28.8   25  14.2  25   20.3   81.7 15/12/2014
20141216   350  34.4  25  14.6  25    0.0  25  15.0  25  30.4   25  12.3  25   22.6   74.1 16/12/2014
20141217   351  26.9  25   8.4  25    0.0  25  12.8  25  31.4   25   9.3  25   26.2   84.4 17/12/2014
20141218   352  28.3  25  10.8  25    0.0  25   9.6  25  29.8   25   9.7  25   25.2   74.9 18/12/2014
20141219   353  27.0  25   9.3  25    0.0  25   9.5  25  32.1   25   9.8  25   27.5   83.7 19/12/2014
20141220   354  31.3  25  13.0  25    0.0  25   8.1  25  32.5   25  10.9  25   23.9   72.8 20/12/2014
20141221   355  37.0  25  16.2  25    0.0  25  10.2  25  28.8   25  12.6  25   20.1   68.5 21/12/2014
20141222   356  38.2  25  24.2  25    0.0  25   9.1  25  13.3   25  11.2  25   16.7   37.1 22/12/2014
20141223   357  31.9  25  17.8  25    0.1  25  10.9  25  27.0   25  17.1  25   36.2   83.9 23/12/2014
20141224   358  30.2  25  11.7  25    0.0  25   9.5  25  32.0   25  10.3  25   24.0   75.0 24/12/2014
20141225   359  28.4  25  13.5  25    0.0  25  10.6  25  32.2   25  10.7  25   27.7   69.2 25/12/2014
20141226   360  25.7  25   9.4  25    0.0  25   9.2  25  32.6   25   8.2  25   24.8   69.6 26/12/2014
20141227   361  29.1  25  11.4  25    0.0  25   7.4  25  28.5   25   8.5  25   21.1   63.1 27/12/2014
20141228   362  34.2  25  12.8  25    0.0  25   8.8  25  32.7   25   8.7  25   16.2   58.9 28/12/2014
20141229   363  28.5  25  15.0  25    0.0  25  10.7  25  29.1   25  10.0  25   25.7   58.7 29/12/2014
20141230   364  28.6  25  11.0  25    0.0  25  11.0  25  25.4   25  11.9  25   30.4   90.7 30/12/2014
20141231   365  30.4  25  10.4  25    0.0  25   7.9  25  30.5   25   9.7  25   22.3   77.0 31/12/2014
20150101     1  35.8  25  14.2  25    0.0  25   8.9  25  26.5   25   7.8  25   13.3   48.2  1/01/2015
20150102     2  42.6  25  20.2  25    0.0  25  12.1  25  31.5   25   8.6  25   10.2   36.3  2/01/2015
20150103     3  43.7  25  26.7  25    0.1  25  12.6  25  26.1   25  16.6  25   18.5   47.4  3/01/2015
20150104     4  33.4  25  20.0  25    1.5  25   8.0  25  23.0   25  19.2  25   37.3   82.2  4/01/2015
20150105     5  36.8  25  18.9  25    0.7  25  11.5  25  29.3   25  12.9  25   20.8   59.1  5/01/2015
20150106     6  38.9  25  20.9  25    0.2  25  11.5  25  29.2   25  15.4  25   22.1   62.3  6/01/2015
20150107     7  41.6  25  23.5  25    0.1  25  12.9  25  28.3   25  17.5  25   21.8   60.5  7/01/2015
20150108     8  37.1  25  25.4  25    0.0  25   3.5  25  21.9   25  18.6  25   29.5   57.4  8/01/2015
20150109     9  27.7  25  21.3  25    7.8  25   2.6  25  14.5   25  24.0  25   64.6   94.8  9/01/2015
20150110    10  21.3  25  17.0  25    9.1  25   7.1  25   7.7   25  20.3  25   80.2  100.0 10/01/2015
20150111    11  27.9  25  16.6  25    6.1  25   3.4  25  15.4   25  18.0  25   47.9   95.3 11/01/2015
20150112    12  31.2  25  18.5  25    0.0  25   4.4  25  22.0   25  21.5  25   47.3  100.0 12/01/2015
20150113    13  30.3  25  21.6  25    5.2  25   6.3  25  17.6   25  26.6  25   61.6  100.0 13/01/2015
20150114    14  27.2  25  18.0  25    1.3  25   5.3  25  13.9   25  19.2  25   53.2   93.1 14/01/2015
20150115    15  26.0  25  15.2  25    0.0  25   6.4  25  22.5   25  13.2  25   39.3   76.5 15/01/2015
20150116    16  30.7  25  11.4  25    0.0  25   9.3  25  31.1   25  14.7  25   33.3  100.0 16/01/2015
