"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -31.42 119.06 (DECIMAL DEGREES), 31 25'S 119 03'E "
" * Elevation: 396 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20141101   305  27.8  25  10.2  25    0.0  25   6.0  25  29.4   25   8.8  25   23.6   70.8  1/11/2014
20141102   306  34.4  25  16.3  25    0.0  25  10.4  25  22.5   25   6.5  25   11.9   35.1  2/11/2014
20141103   307  27.3  25  13.0  25    0.0  25   8.8  25  29.4   25  10.4  25   28.7   69.5  3/11/2014
20141104   308  30.6  25  12.2  25    0.0  25   8.2  25  27.6   25   9.9  25   22.5   69.7  4/11/2014
20141105   309  36.9  25  12.7  25    0.0  25   9.6  25  28.2   25   9.2  25   14.7   62.7  5/11/2014
20141106   310  35.2  25  13.8  25    0.0  25   9.2  25  23.5   25  10.8  25   19.0   68.5  6/11/2014
20141107   311  24.3  25  12.8  25    0.7  25   8.8  25  24.2   25  10.9  25   35.9   73.8  7/11/2014
20141108   312  29.8  25  10.9  25    0.0  25   7.8  25  30.4   25  10.7  25   25.5   82.1  8/11/2014
20141109   313  37.6  25  15.3  25    0.0  25  11.8  25  27.3   25   9.4  25   14.5   54.1  9/11/2014
20141110   314  36.8  25  22.6  25    0.0  25   7.6  25  22.4   25  12.4  25   20.0   45.2 10/11/2014
20141111   315  28.9  25  16.7  25   11.5  25   6.8  25  26.4   25  17.4  25   43.7   91.6 11/11/2014
20141112   316  25.8  25  14.9  25    0.0  25   5.0  25  12.7   25  14.9  25   44.9   88.0 12/11/2014
20141113   317  15.6  25   9.6  25    1.5  25   2.7  25  19.1   25  10.5  25   59.3   87.9 13/11/2014
20141114   318  19.7  25   6.1  25    2.5  25   6.9  25  25.6   25   9.2  25   40.1   97.8 14/11/2014
20141115   319  24.6  25   7.3  25    0.0  25   6.9  25  30.1   25  10.0  25   32.3   97.8 15/11/2014
20141116   320  33.0  25  10.7  25    0.0  25   8.0  25  24.8   25  10.4  25   20.7   80.9 16/11/2014
20141117   321  34.1  25  15.9  25    0.0  25  10.1  25  28.7   25  11.5  25   21.5   63.7 17/11/2014
20141118   322  35.2  25  20.8  25    1.2  25   9.7  25  20.8   25  14.8  25   26.0   60.3 18/11/2014
20141119   323  26.7  25  15.5  25    0.0  25   4.8  25  19.4   25  13.9  25   39.7   79.0 19/11/2014
20141120   324  30.3  25  12.1  25    0.0  25   9.9  25  29.7   25  11.4  25   26.4   80.8 20/11/2014
20141121   325  28.0  25  11.9  25    0.0  25   8.4  25  27.1   25  12.9  25   34.1   92.6 21/11/2014
20141122   326  26.2  25  11.8  25    0.0  25   6.6  25  26.2   25  10.5  25   30.9   75.9 22/11/2014
20141123   327  26.8  25  11.4  25    0.0  25   8.9  25  30.1   25   9.0  25   25.5   66.8 23/11/2014
20141124   328  28.5  25  10.1  25    0.0  25  10.3  25  31.2   25  10.4  25   26.7   84.2 24/11/2014
20141125   329  33.0  25  13.0  25    0.0  25  11.3  25  30.2   25   9.3  25   18.5   62.1 25/11/2014
20141126   330  33.5  25  17.9  25    0.0  25  10.2  25  20.2   25   8.9  25   17.2   43.4 26/11/2014
20141127   331  33.8  25  19.2  25    0.0  25   7.0  25  25.1   25  11.3  25   21.5   50.8 27/11/2014
20141128   332  30.3  25  17.2  25   11.2  25   6.8  25  24.1   25  19.1  25   44.3   97.4 28/11/2014
20141129   333  29.3  25  14.8  25    0.0  25   7.6  25  25.3   25  16.8  25   41.2   99.9 29/11/2014
20141130   334  33.5  25  13.5  25    0.0  25   8.1  25  29.0   25  12.6  25   24.4   81.5 30/11/2014
20141201   335  28.7  25  16.7  25    0.0  25   9.3  25  27.0   25  15.1  25   38.4   79.5  1/12/2014
20141202   336  27.1  25  13.0  25    0.0  25   9.8  25  29.0   25   9.3  25   25.9   62.1  2/12/2014
20141203   337  34.5  25  14.3  25    0.0  25  10.1  25  26.7   25   9.5  25   17.4   58.3  3/12/2014
20141204   338  32.3  25  14.8  25    0.0  25   8.2  25  29.6   25  13.9  25   28.7   82.6  4/12/2014
20141205   339  30.9  25  14.1  25    0.0  25   6.0  25  22.7   25  13.1  25   29.3   81.5  5/12/2014
20141206   340  33.0  25  15.2  25    0.0  25   9.2  25  29.9   25  15.3  25   30.4   88.6  6/12/2014
20141207   341  33.8  25  15.7  25    0.0  25   9.8  25  28.9   25  12.2  25   23.2   68.4  7/12/2014
20141208   342  35.0  25  17.7  25    0.0  25  11.2  25  30.3   25  10.7  25   19.0   52.9  8/12/2014
20141209   343  27.5  25  13.0  25    0.0  25   7.8  25  28.8   25  10.3  25   28.1   68.8  9/12/2014
20141210   344  27.6  25  11.5  25    0.0  25   9.8  25  26.5   25  10.1  25   27.4   74.5 10/12/2014
20141211   345  32.2  25  14.9  25    0.0  25  10.7  25  30.9   25  12.8  25   26.6   75.6 11/12/2014
20141212   346  40.4  25  20.8  25    0.0  25  12.6  25  31.4   25  10.0  25   13.3   40.7 12/12/2014
20141213   347  30.0  25  13.8  25    0.0  25   9.7  25  30.7   25  11.0  25   25.9   69.8 13/12/2014
20141214   348  32.4  25  11.5  25    0.0  25   8.6  25  30.8   25   9.5  25   19.5   70.1 14/12/2014
20141215   349  30.9  25  13.7  25    0.0  25  10.3  25  32.4   25  11.1  25   24.8   70.9 15/12/2014
20141216   350  30.1  25  13.0  25    0.0  25   9.6  25  31.8   25  10.5  25   24.6   70.2 16/12/2014
20141217   351  30.7  25  12.5  25    0.0  25   9.2  25  31.7   25  10.4  25   23.5   71.8 17/12/2014
20141218   352  32.3  25  12.5  25    0.0  25  10.4  25  32.3   25   9.8  25   20.3   67.7 18/12/2014
20141219   353  38.8  25  18.2  25    0.0  25   9.4  25  28.4   25  10.9  25   15.8   52.2 19/12/2014
20141220   354  37.3  25  21.5  25    3.9  25   8.4  25  27.4   25  21.0  25   32.9   81.9 20/12/2014
20141221   355  27.2  25  16.6  25    0.0  25   6.9  25  21.6   25  15.7  25   43.5   83.2 21/12/2014
20141222   356  30.2  25  15.8  25    0.0  25   8.0  25  25.8   25  14.6  25   34.0   81.4 22/12/2014
20141223   357  30.2  25  14.0  25    0.0  25   9.7  25  24.6   25  13.4  25   31.2   83.9 23/12/2014
20141224   358  31.0  25  14.5  25    0.0  25  10.5  25  28.6   25  12.4  25   27.6   75.1 24/12/2014
20141225   359  29.5  25  12.3  25    0.0  25   9.9  25  31.3   25   8.0  25   19.4   56.0 25/12/2014
20141226   360  31.1  25  11.8  25    0.0  25  11.3  25  31.9   25  10.8  25   23.9   78.1 26/12/2014
20141227   361  33.7  25  14.6  25    0.0  25   9.1  25  31.0   25  11.8  25   22.6   71.1 27/12/2014
20141228   362  35.9  25  15.8  25    0.0  25  10.4  25  32.1   25   8.9  25   15.1   49.6 28/12/2014
20141229   363  36.7  25  16.3  25    0.0  25  13.0  25  31.4   25  13.6  25   22.0   73.4 29/12/2014
20141230   364  41.2  25  21.3  25    0.0  25  11.9  25  25.5   25  11.9  25   15.1   47.0 30/12/2014
20141231   365  35.8  25  19.7  25    0.0  25  10.2  25  28.5   25  14.0  25   23.8   61.0 31/12/2014
20150101     1  36.0  25  14.1  25    0.0  25   8.1  25  30.2   25  13.5  25   22.7   84.0  1/01/2015
20150102     2  34.9  25  18.3  25    0.0  25   8.1  25  16.7   25  14.6  25   26.1   69.5  2/01/2015
20150103     3  32.5  25  16.0  25    0.0  25  10.3  25  28.2   25  13.0  25   26.6   71.5  3/01/2015
20150104     4  37.9  25  16.2  25    0.0  25  11.5  25  30.7   25  15.0  25   22.8   81.5  4/01/2015
20150105     5  41.3  25  24.1  25    0.0  25  13.9  25  28.4   25  15.9  25   20.1   53.0  5/01/2015
20150106     6  41.7  25  23.4  25    0.0  25  11.3  25  24.7   25  14.9  25   18.5   51.8  6/01/2015
20150107     7  32.6  25  20.3  25    0.0  25  10.4  25  27.3   25  16.4  25   33.3   68.9  7/01/2015
20150108     8  30.1  25  14.7  25    0.0  25  10.2  25  30.7   25  11.2  25   26.2   67.0  8/01/2015
20150109     9  26.5  25  12.4  25    0.0  25   8.7  25  28.1   25  10.2  25   29.5   70.9  9/01/2015
20150110    10  27.4  25  12.2  25    0.0  25   9.7  25  28.9   25  10.6  25   29.0   74.6 10/01/2015
20150111    11  29.1  25  13.5  25    0.0  25  10.7  25  30.5   25  10.0  25   24.8   64.7 11/01/2015
20150112    12  34.5  25  15.0  25    0.0  25  11.2  25  32.0   25   9.4  25   17.2   55.2 12/01/2015
20150113    13  40.7  25  19.1  25    0.0  25  10.7  25  29.7   25   8.7  25   11.4   39.4 13/01/2015
20150114    14  41.8  25  22.2  25    0.0  25  12.9  25  30.8   25   9.8  25   12.1   36.6 14/01/2015
20150115    15  33.0  25  17.4  25    0.0  25   8.9  25  28.9   25  15.8  25   31.4   79.5 15/01/2015
20150116    16  34.0  25  13.2  25    0.0  25  10.2  25  31.2   25  12.6  25   23.7   83.1 16/01/2015
