"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -33.65 121.77 (DECIMAL DEGREES), 33 39'S 121 46'E "
" * Elevation: 125 m "
" * Extracted from SILO on 20210618 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20191101   305  19.8  25   8.9  25    0.0  25   4.9  25  18.6   25   7.5  25   32.5   65.8  1/11/2019
20191102   306  18.7  25   9.5  25    4.6  25   4.0  25  24.6   25  12.6  25   58.5  100.0  2/11/2019
20191103   307  21.6  25   9.7  25    0.1  25   4.4  25  23.9   25  11.1  25   43.0   92.3  3/11/2019
20191104   308  24.0  25   8.0  25    0.0  25   5.3  25  28.5   25  11.9  25   39.9  100.0  4/11/2019
20191105   309  23.1  25  10.1  25    0.0  25   6.7  25  27.7   25  13.2  25   46.7  100.0  5/11/2019
20191106   310  20.2  25  11.0  25    0.0  25   4.4  25  22.5   25  10.9  25   46.1   83.1  6/11/2019
20191107   311  20.8  25  10.6  25    0.0  25   3.9  25  12.7   25  11.8  25   48.1   92.4  7/11/2019
20191108   312  22.5  25  11.7  25    0.0  25   9.5  25  23.1   25  13.1  25   48.1   95.3  8/11/2019
20191109   313  33.2  25   9.9  25    0.0  25   9.6  25  22.9   25  10.4  25   20.4   85.3  9/11/2019
20191110   314  39.3  25  20.7  25    0.0  25   9.2  25  22.6   25   5.9  25    8.3   24.2 10/11/2019
20191111   315  19.1  25  12.6  25    0.0  25   7.1  25  23.5   25   9.9  25   44.8   67.9 11/11/2019
20191112   316  20.6  25  10.6  25    0.0  25   6.7  25  22.8   25   8.8  25   36.3   68.9 12/11/2019
20191113   317  29.9  25   7.4  25    0.0  25   7.4  25  24.7   25   9.7  25   23.0   94.3 13/11/2019
20191114   318  33.3  25  12.9  25    0.0  25   8.1  25  29.3   25   6.9  25   13.5   46.4 14/11/2019
20191115   319  24.1  25  14.9  25    0.0  25   8.9  25  28.7   25  13.2  25   44.0   78.0 15/11/2019
20191116   320  35.6  25  11.2  25    0.0  25   9.2  25  28.0   25  13.2  25   22.7   99.3 16/11/2019
20191117   321  42.4  25  16.8  25    0.0  25  10.5  25  25.8   25  11.1  25   13.3   58.1 17/11/2019
20191118   322  23.0  25  14.9  25    0.0  25   8.5  25  27.7   25  14.3  25   50.9   84.5 18/11/2019
20191119   323  27.0  25  14.4  25    0.0  25   5.1  25  17.8   25  14.2  25   39.8   86.6 19/11/2019
20191120   324  21.2  25  14.7  25    0.0  25   6.8  25  19.4   25  10.5  25   41.7   62.8 20/11/2019
20191121   325  24.8  25   6.8  25    1.0  25   4.9  25  26.6   25   9.7  25   31.0   98.2 21/11/2019
20191122   326  23.0  25   9.3  25    0.0  25   7.1  25  16.2   25  11.4  25   40.6   97.4 22/11/2019
20191123   327  26.4  25  11.7  25    0.0  25   7.9  25  26.3   25  12.1  25   35.2   88.1 23/11/2019
20191124   328  23.9  25  10.6  25    0.0  25   9.4  25  21.0   25  12.3  25   41.5   96.3 24/11/2019
20191125   329  20.5  25  13.5  25    0.0  25   4.9  25  23.4   25  10.0  25   41.5   64.7 25/11/2019
20191126   330  24.8  25   7.9  25    0.0  25   6.6  25  28.3   25   9.8  25   31.3   92.0 26/11/2019
20191127   331  22.7  25   8.9  25    0.0  25   7.3  25  27.4   25  13.9  25   50.4  100.0 27/11/2019
20191128   332  18.8  25  12.7  25    0.9  25   5.4  25  15.0   25  11.9  25   54.9   81.1 28/11/2019
20191129   333  19.0  25  11.7  25    0.1  25   8.1  25  15.3   25  13.1  25   59.6   95.3 29/11/2019
20191130   334  19.5  25  12.1  25    0.3  25   9.3  25  18.6   25   8.9  25   39.3   63.1 30/11/2019
20191201   335  20.7  25  12.2  25    0.0  25   9.0  25  12.5   25  13.9  25   57.0   97.9  1/12/2019
20191202   336  26.9  25  14.0  25    1.3  25   4.1  25  16.9   25  17.8  25   50.2  100.0  2/12/2019
20191203   337  32.0  25  12.3  25    0.0  25   8.8  25  28.9   25  11.7  25   24.6   81.8  3/12/2019
20191204   338  35.5  25  18.0  25    0.0  25   8.4  25  19.1   25  12.9  25   22.3   62.5  4/12/2019
20191205   339  24.5  25  15.1  25    0.0  25   6.8  25  29.2   25  15.1  25   49.1   88.0  5/12/2019
20191206   340  30.9  25  11.4  25    0.0  25   8.9  25  22.0   25  12.7  25   28.4   94.3  6/12/2019
20191207   341  37.1  25  20.2  25    0.0  25  10.4  25  20.7   25  16.1  25   25.5   68.0  7/12/2019
20191208   342  22.7  25  14.9  25    0.0  25   6.6  25  15.2   25  12.6  25   45.7   74.4  8/12/2019
20191209   343  22.7  25  11.4  25    0.0  25   7.6  25  24.5   25  10.6  25   38.4   78.7  9/12/2019
20191210   344  22.6  25   8.6  25    0.0  25   7.7  25  28.6   25  12.0  25   43.8  100.0 10/12/2019
20191211   345  25.8  25  10.7  25    0.0  25   7.4  25  23.0   25  12.3  25   37.0   95.7 11/12/2019
20191212   346  29.0  25  11.1  25    0.0  25   9.4  25  29.5   25  12.5  25   31.2   94.7 12/12/2019
20191213   347  36.7  25  13.7  25    0.0  25   9.6  25  29.4   25  12.9  25   20.9   82.3 13/12/2019
20191214   348  40.6  25  18.0  25    0.0  25  15.1  25  31.0   25   7.1  25    9.3   34.4 14/12/2019
20191215   349  36.3  25  14.9  25    0.0  25  11.1  25  30.5   25  12.2  25   20.2   72.1 15/12/2019
20191216   350  33.7  25  16.6  25    0.0  25   8.7  25  23.6   25  16.8  25   32.1   89.0 16/12/2019
20191217   351  27.8  25  18.1  25    0.0  25   5.4  25  28.5   25  18.5  25   49.5   89.1 17/12/2019
20191218   352  31.5  25  17.4  25    0.0  25  11.0  25  30.6   25  19.4  25   42.0   97.7 18/12/2019
20191219   353  31.0  25  18.2  25    0.0  25   8.6  25  19.5   25  18.1  25   40.3   86.6 19/12/2019
20191220   354  25.6  25  13.7  25    0.0  25   7.8  25  29.4   25  12.8  25   39.0   81.7 20/12/2019
20191221   355  34.4  25  13.4  25    0.0  25   9.6  25  22.8   25  13.7  25   25.2   89.2 21/12/2019
20191222   356  36.1  25  19.2  25    0.9  25   6.5  25  27.3   25  13.4  25   22.4   60.3 22/12/2019
20191223   357  24.5  25  17.7  25    0.7  25   6.0  25  25.4   25  18.2  25   59.2   89.9 23/12/2019
20191224   358  25.2  25  16.8  25    0.0  25  10.2  25  21.5   25  15.8  25   49.3   82.6 24/12/2019
20191225   359  32.8  25  14.8  25    0.0  25  10.8  25  20.8   25  14.8  25   29.8   88.0 25/12/2019
20191226   360  39.1  25  19.6  25   10.9  25   6.1  25  24.1   25  22.4  25   31.9   98.3 26/12/2019
20191227   361  25.6  25  18.5  25   15.1  25  11.0  25  26.4   25  17.1  25   52.1   80.3 27/12/2019
20191228   362  31.9  25  13.9  25    0.0  25   9.0  25  29.5   25  13.9  25   29.4   87.6 28/12/2019
20191229   363  36.9  25  16.3  25    0.0  25  10.7  25  29.3   25  14.0  25   22.4   75.6 29/12/2019
20191230   364  23.7  25  16.6  25    0.0  25  10.1  25  25.2   25  10.0  25   34.1   53.0 30/12/2019
20191231   365  26.9  25  10.8  25    0.0  25   9.2  25  31.5   25  11.3  25   31.9   87.3 31/12/2019
20200101     1  30.2  25  14.3  25    0.0  25   9.3  25  30.8   25  12.7  25   29.6   78.0  1/01/2020
20200102     2  26.2  25  18.1  25    0.1  25   7.6  25  20.8   25  18.1  25   53.2   87.2  2/01/2020
20200103     3  21.2  25  14.1  25    0.7  25   7.0  25  13.6   25  12.6  25   50.1   78.4  3/01/2020
20200104     4  23.5  25  10.3  25    1.1  25   7.5  25  21.8   25   9.4  25   32.5   75.1  4/01/2020
20200105     5  32.1  25  11.9  25    0.0  25   8.9  25  31.8   25  10.0  25   20.9   71.8  5/01/2020
20200106     6  37.2  25  17.7  25    0.0  25  11.3  25  32.9   25   8.8  25   13.9   43.5  6/01/2020
20200107     7  41.5  25  16.3  25    0.0  25   9.3  25  30.7   25   7.2  25    9.0   38.9  7/01/2020
20200108     8  28.0  25  17.3  25    0.0  25   8.5  25  28.7   25  18.9  25   50.0   95.8  8/01/2020
20200109     9  25.4  25  17.7  25    0.0  25   8.4  25   8.3   25  15.2  25   46.9   75.1  9/01/2020
20200110    10  23.2  25  13.3  25    0.0  25   9.2  25  23.6   25  10.9  25   38.3   71.4 10/01/2020
20200111    11  29.7  25  13.2  25    0.0  25   8.0  25  25.0   25  10.5  25   25.2   69.2 11/01/2020
20200112    12  36.6  25  15.6  25    0.0  25  11.2  25  19.1   25  13.0  25   21.2   73.4 12/01/2020
20200113    13  23.0  25  17.7  25    0.0  25   4.3  25   9.9   25  14.9  25   53.1   73.6 13/01/2020
20200114    14  27.8  25  18.1  25    6.7  25   4.7  25  22.9   25  19.1  25   51.1   92.0 14/01/2020
20200115    15  20.1  25  17.2  25    4.6  25   4.3  25   8.7   25  17.8  25   75.7   90.8 15/01/2020
20200116    16  25.9  25  16.8  25    0.0  25   6.5  25  16.0   25  16.1  25   48.2   84.2 16/01/2020
