"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -34.76 140.34 (DECIMAL DEGREES), 34 46'S 140 21'E "
" * Elevation: 73 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20171101   305  24.6  25   7.2  25    0.0  25   6.6  25  24.9   25  11.3  25   36.5  100.0  1/11/2017
20171102   306  24.5  25   6.4  25    0.0  25   5.3  25  22.9   25  11.6  25   37.7  100.0  2/11/2017
20171103   307  18.7  25   9.8  25    0.0  25   5.2  25  13.3   25   7.4  25   34.3   61.1  3/11/2017
20171104   308  22.6  25   5.0  25    0.0  25   7.1  25  26.4   25   6.1  25   22.3   70.0  4/11/2017
20171105   309  25.6  25   6.1  25    0.0  25   9.3  25  26.6   25   6.5  25   19.8   69.1  5/11/2017
20171106   310  22.6  25   8.1  25    0.0  25   7.6  25  25.5   25   7.7  25   28.1   71.3  6/11/2017
20171107   311  23.4  25   6.4  25    0.0  25   8.2  25  25.0   25   8.8  25   30.6   91.6  7/11/2017
20171108   312  27.9  25   5.7  25    0.0  25   6.0  25  28.7   25   8.0  25   21.3   87.4  8/11/2017
20171109   313  31.3  25   7.8  25    0.0  25   8.2  25  27.2   25   7.6  25   16.6   71.9  9/11/2017
20171110   314  34.2  25  13.3  25    0.0  25   7.8  25  23.0   25   6.5  25   12.1   42.6 10/11/2017
20171111   315  33.3  25  19.2  25    0.0  25   7.1  25  13.3   25   7.1  25   13.9   31.9 11/11/2017
20171112   316  35.5  25  18.6  25    0.0  25   7.5  25  19.8   25   8.9  25   15.4   41.6 12/11/2017
20171113   317  37.9  25  16.5  25    0.0  25   9.4  25  19.4   25   8.3  25   12.6   44.2 13/11/2017
20171114   318  37.9  25  16.4  25    0.0  25   9.2  25  20.2   25   8.6  25   13.0   46.1 14/11/2017
20171115   319  22.0  25  18.6  25    1.4  25   2.8  25  12.3   25  20.5  25   77.6   95.7 15/11/2017
20171116   320  19.5  25  13.1  25   27.9  25   3.6  25  13.0   25  14.6  25   64.4   96.9 16/11/2017
20171117   321  20.2  25  12.0  25    1.2  25   1.9  25  12.6   25  14.2  25   60.0  100.0 17/11/2017
20171118   322  25.4  25  13.6  25    3.1  25   3.6  25  20.5   25  16.4  25   50.6  100.0 18/11/2017
20171119   323  31.0  25  12.8  25    0.7  25   7.9  25  24.6   25  16.0  25   35.6  100.0 19/11/2017
20171120   324  33.4  25  17.2  25    0.0  25  10.6  25  28.8   25  14.6  25   28.4   74.4 20/11/2017
20171121   325  35.2  25  16.2  25    0.0  25  11.9  25  29.9   25  10.7  25   18.8   58.1 21/11/2017
20171122   326  36.4  25  16.9  25    0.0  25  10.6  25  26.7   25   9.8  25   16.1   50.9 22/11/2017
20171123   327  31.2  25  18.2  25    0.0  25   3.9  25  17.2   25  14.9  25   32.8   71.3 23/11/2017
20171124   328  30.7  25  16.7  25    0.0  25   6.0  25  19.2   25  16.7  25   37.8   87.9 24/11/2017
20171125   329  32.3  25  15.9  25    0.1  25   6.6  25  22.8   25  19.0  25   39.3  100.0 25/11/2017
20171126   330  26.8  25  16.4  25    0.0  25   6.8  25  16.9   25  17.5  25   49.7   93.9 26/11/2017
20171127   331  30.7  25  14.7  25    0.0  25   6.9  25  27.4   25  13.9  25   31.5   83.2 27/11/2017
20171128   332  36.3  25  15.4  25    0.0  25   9.6  25  28.7   25  16.0  25   26.5   91.5 28/11/2017
20171129   333  38.3  25  20.3  25    0.0  25   9.0  25  23.7   25  16.9  25   25.1   71.0 29/11/2017
20171130   334  36.5  25  21.1  25    1.1  25   8.6  25  22.8   25  19.9  25   32.6   79.6 30/11/2017
20171201   335  22.7  25  18.3  25   18.6  25   4.1  25  10.3   25  21.1  25   76.5  100.0  1/12/2017
20171202   336  21.0  25  12.7  25    6.4  25   5.2  25  14.3   25  13.1  25   52.7   89.3  2/12/2017
20171203   337  20.3  25   8.5  25    0.0  25   4.8  25  18.0   25  10.3  25   43.3   92.9  3/12/2017
20171204   338  22.9  25   9.0  25    0.0  25   6.9  25  21.1   25  10.7  25   38.3   93.3  4/12/2017
20171205   339  24.5  25   9.1  25    0.0  25   7.1  25  25.6   25   9.2  25   29.9   79.7  5/12/2017
20171206   340  27.1  25  11.1  25    0.3  25   8.3  25  28.3   25  12.7  25   35.4   96.2  6/12/2017
20171207   341  20.1  25   8.7  25    0.0  25   2.9  25  16.8   25  11.2  25   47.6   99.6  7/12/2017
20171208   342  22.8  25   7.6  25    0.4  25   6.1  25  27.7   25   9.8  25   35.3   93.9  8/12/2017
20171209   343  27.5  25   8.2  25    0.0  25   7.4  25  26.9   25  13.4  25   36.5  100.0  9/12/2017
20171210   344  31.0  25   9.7  25    0.0  25   8.6  25  29.9   25  13.2  25   29.4  100.0 10/12/2017
20171211   345  32.6  25  11.3  25    0.0  25   8.0  25  32.1   25  13.7  25   27.9  100.0 11/12/2017
20171212   346  37.1  25  11.5  25    0.0  25   8.8  25  31.2   25  12.7  25   20.1   93.7 12/12/2017
20171213   347  42.3  25  15.4  25    0.0  25  12.1  25  25.1   25   8.8  25   10.6   50.3 13/12/2017
20171214   348  26.9  25  18.2  25    0.0  25   8.4  25  23.5   25  17.7  25   49.9   84.7 14/12/2017
20171215   349  31.0  25  10.7  25    0.0  25   8.5  25  29.1   25  11.5  25   25.6   89.4 15/12/2017
20171216   350  31.8  25  12.5  25    0.0  25   8.5  25  29.4   25  12.0  25   25.5   82.8 16/12/2017
20171217   351  35.4  25  13.5  25    0.0  25   7.1  25  23.8   25  13.9  25   24.2   89.9 17/12/2017
20171218   352  37.0  25  20.9  25    0.2  25   9.9  25  14.8   25  13.0  25   20.7   52.6 18/12/2017
20171219   353  34.1  25  23.6  25    0.5  25  12.3  25  23.7   25  20.3  25   37.9   69.7 19/12/2017
20171220   354  26.8  25  14.2  25    0.0  25   8.9  25  27.5   25  13.1  25   37.2   80.9 20/12/2017
20171221   355  29.1  25   9.4  25    0.0  25   7.5  25  30.4   25  11.5  25   28.5   97.6 21/12/2017
20171222   356  34.5  25  10.7  25    0.0  25   9.0  25  29.3   25  12.7  25   23.2   98.8 22/12/2017
20171223   357  38.3  25  12.1  25    0.0  25  11.3  25  27.7   25   8.4  25   12.5   59.5 23/12/2017
20171224   358  27.9  25  15.3  25    0.0  25  10.0  25  29.7   25  11.1  25   29.5   63.9 24/12/2017
20171225   359  30.9  25  10.1  25    0.0  25  10.0  25  31.5   25   9.1  25   20.4   73.7 25/12/2017
20171226   360  34.1  25  12.5  25    0.0  25   9.1  25  32.4   25  11.1  25   20.8   76.6 26/12/2017
20171227   361  40.6  25  13.1  25    0.0  25  10.4  25  25.3   25   7.4  25    9.7   49.1 27/12/2017
20171228   362  31.4  25  22.4  25    0.0  25   6.1  25  17.0   25  18.0  25   39.2   66.5 28/12/2017
20171229   363  26.8  25  17.4  25    0.2  25   5.2  25  15.5   25  16.1  25   45.7   81.1 29/12/2017
20171230   364  26.5  25  11.5  25    0.0  25   8.7  25  16.9   25  13.3  25   38.4   98.1 30/12/2017
20171231   365  28.9  25   8.6  25    0.0  25   7.5  25  27.5   25  11.0  25   27.6   98.5 31/12/2017
20180101     1  28.8  25  13.0  25    0.0  25   9.0  25  27.3   25  13.7  25   34.6   91.5  1/01/2018
20180102     2  26.0  25  12.2  25    0.0  25   7.9  25  27.9   25  13.8  25   41.1   97.2  2/01/2018
20180103     3  28.1  25  11.6  25    0.0  25   8.9  25  28.3   25  10.9  25   28.7   79.9  3/01/2018
20180104     4  34.1  25  11.6  25    0.0  25  10.1  25  31.3   25  12.1  25   22.6   88.6  4/01/2018
20180105     5  39.0  25  13.9  25    0.0  25   9.1  25  31.6   25  12.9  25   18.4   81.3  5/01/2018
20180106     6  44.8  25  17.9  25    0.0  25  16.2  25  32.2   25   8.2  25    8.6   40.0  6/01/2018
20180107     7  34.7  25  15.4  25    0.0  25   9.8  25  29.1   25  14.9  25   26.9   85.2  7/01/2018
20180108     8  30.6  25  15.8  25    0.0  25   8.2  25  26.8   25  13.2  25   30.1   73.6  8/01/2018
20180109     9  28.7  25  11.0  25    0.0  25  10.7  25  29.4   25  13.0  25   33.0   99.1  9/01/2018
20180110    10  29.3  25  11.5  25    0.0  25   4.9  25  15.3   25  10.1  25   24.8   74.5 10/01/2018
20180111    11  38.8  25  14.6  25    0.0  25   8.9  25  24.3   25   8.8  25   12.7   53.0 11/01/2018
20180112    12  28.5  25  25.1  25    0.0  25   5.5  25  13.1   25  18.3  25   47.0   57.4 12/01/2018
20180113    13  24.8  25  12.6  25    0.1  25   6.9  25  19.1   25  13.8  25   44.1   94.7 13/01/2018
20180114    14  27.0  25   9.6  25    0.2  25   9.0  25  28.8   25   9.4  25   26.4   78.7 14/01/2018
20180115    15  28.9  25  12.5  25    0.0  25   8.9  25  30.2   25  11.5  25   28.9   79.4 15/01/2018
20180116    16  35.0  25  14.8  25    0.0  25   9.4  25  31.0   25  11.7  25   20.8   69.5 16/01/2018
