"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -35.14 146.78 (DECIMAL DEGREES), 35 08'S 146 47'E "
" * Elevation: 200 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20181101   305  38.4  25  15.2  25    0.0  25  11.7  25  20.8   25  11.7  25   17.3   67.8  1/11/2018
20181102   306  36.7  25  24.0  25    0.0  25   7.5  25  15.1   25   9.3  25   15.1   31.2  2/11/2018
20181103   307  25.6  25  12.8  25    0.0  25   6.9  25  22.1   25  10.6  25   32.3   71.8  3/11/2018
20181104   308  29.7  25   8.3  25    0.0  25   7.1  25  24.2   25   8.5  25   20.4   77.7  4/11/2018
20181105   309  29.6  25  15.5  25    0.1  25   4.1  25  14.6   25  10.2  25   24.6   58.0  5/11/2018
20181106   310  27.9  25  18.5  25   15.6  25   4.6  25  12.6   25  21.1  25   56.2   99.1  6/11/2018
20181107   311  15.4  25  12.0  25   15.7  25   2.0  25  11.7   25  12.6  25   72.1   89.9  7/11/2018
20181108   312  19.1  25   6.3  25    1.6  25   6.7  25  28.7   25   8.8  25   39.8   92.2  8/11/2018
20181109   313  23.3  25   5.6  25    0.0  25   4.8  25  23.6   25   8.5  25   29.7   93.5  9/11/2018
20181110   314  27.3  25   7.5  25    0.0  25   6.1  25  28.4   25   8.6  25   23.7   83.0 10/11/2018
20181111   315  29.7  25   9.2  25    0.0  25   7.1  25  29.4   25   9.1  25   21.8   78.3 11/11/2018
20181112   316  32.4  25  12.0  25    0.0  25   8.1  25  23.7   25  11.6  25   23.9   82.8 12/11/2018
20181113   317  27.8  25  19.8  25    0.0  25   2.9  25  16.6   25  10.8  25   28.9   46.8 13/11/2018
20181114   318  27.6  25  16.6  25   31.9  25   4.2  25  18.3   25  19.5  25   52.8  100.0 14/11/2018
20181115   319  26.5  25  13.5  25    1.8  25   9.2  25  20.9   25  15.1  25   43.6   97.6 15/11/2018
20181116   320  27.3  25  10.8  25    0.0  25   7.2  25  27.8   25  11.6  25   32.0   89.6 16/11/2018
20181117   321  28.3  25  10.8  25    0.0  25   8.0  25  22.4   25  11.6  25   30.2   89.6 17/11/2018
20181118   322  28.0  25  14.5  25    0.0  25   7.5  25  26.7   25  10.0  25   26.5   60.6 18/11/2018
20181119   323  30.1  25  15.1  25    0.0  25   8.3  25  27.6   25  10.8  25   25.3   63.0 19/11/2018
20181120   324  32.7  25  18.2  25    0.0  25   6.3  25  23.5   25  13.6  25   27.5   65.1 20/11/2018
20181121   325  24.9  25  13.7  25    6.0  25   7.8  25  22.0   25  13.6  25   43.2   86.8 21/11/2018
20181122   326  16.6  25   9.2  25    3.3  25   4.6  25  18.5   25   9.1  25   48.2   78.3 22/11/2018
20181123   327  17.7  25   9.1  25    4.7  25   3.4  25  15.9   25   9.8  25   48.4   84.8 23/11/2018
20181124   328  22.5  25  10.3  25    0.2  25   5.4  25  13.8   25  11.5  25   42.2   91.9 24/11/2018
20181125   329  25.0  25   9.7  25    0.0  25   7.2  25  27.7   25  11.7  25   36.9   97.3 25/11/2018
20181126   330  27.2  25   9.9  25    0.0  25   6.8  25  26.2   25  10.6  25   29.4   87.0 26/11/2018
20181127   331  27.9  25  13.5  25    0.0  25   6.1  25  17.5   25  12.3  25   32.7   79.5 27/11/2018
20181128   332  25.7  25  15.3  25    6.8  25   5.2  25  16.8   25  16.0  25   48.5   92.1 28/11/2018
20181129   333  27.0  25  12.1  25    3.3  25   6.5  25  27.2   25  12.5  25   35.1   88.6 29/11/2018
20181130   334  29.7  25  12.6  25    0.0  25   7.1  25  31.7   25  13.4  25   32.1   91.9 30/11/2018
20181201   335  32.1  25  11.7  25    0.0  25   9.0  25  28.7   25  11.5  25   24.0   83.7  1/12/2018
20181202   336  24.5  25  17.4  25    0.1  25   8.8  25  24.8   25  12.0  25   39.0   60.4  2/12/2018
20181203   337  25.8  25  10.4  25    0.0  25   8.8  25  26.5   25   8.9  25   26.8   70.6  3/12/2018
20181204   338  28.9  25  13.6  25    0.0  25   9.8  25  27.6   25  11.1  25   27.9   71.3  4/12/2018
20181205   339  32.2  25  14.2  25    0.0  25   8.8  25  25.6   25  14.5  25   30.2   89.6  5/12/2018
20181206   340  34.3  25  17.6  25    0.0  25   9.3  25  28.7   25  13.4  25   24.8   66.6  6/12/2018
20181207   341  35.9  25  20.5  25    0.0  25   9.0  25  28.2   25  13.8  25   23.4   57.3  7/12/2018
20181208   342  37.5  25  19.4  25    0.0  25   8.1  25  19.5   25  11.1  25   17.2   49.3  8/12/2018
20181209   343  36.1  25  23.1  25    0.0  25   7.2  25  21.7   25  14.0  25   23.4   49.6  9/12/2018
20181210   344  32.4  25  18.6  25    3.7  25   8.2  25  22.5   25  18.7  25   38.5   87.3 10/12/2018
20181211   345  33.3  25  17.1  25    0.0  25   6.7  25  22.0   25  16.3  25   31.9   83.6 11/12/2018
20181212   346  31.4  25  19.4  25    0.0  25   7.7  25  24.8   25  15.9  25   34.6   70.6 12/12/2018
20181213   347  28.3  25  19.1  25   17.8  25   5.2  25  10.3   25  22.5  25   58.5  100.0 13/12/2018
20181214   348  25.7  25  13.0  25   20.5  25   4.5  25  28.8   25  13.2  25   40.0   88.2 14/12/2018
20181215   349  27.1  25  14.4  25    0.0  25   5.7  25  22.0   25  13.5  25   37.7   82.3 15/12/2018
20181216   350  27.6  25  14.7  25    0.7  25   5.7  25  15.2   25  14.4  25   39.0   86.1 16/12/2018
20181217   351  31.5  25  15.0  25    0.3  25   8.9  25  27.6   25  15.6  25   33.8   91.5 17/12/2018
20181218   352  34.2  25  16.9  25    0.0  25   9.5  25  23.0   25  17.1  25   31.8   88.9 18/12/2018
20181219   353  34.3  25  20.2  25    0.0  25   7.4  25  13.8   25  18.6  25   34.4   78.6 19/12/2018
20181220   354  35.8  25  20.4  25    0.0  25  10.9  25  27.7   25  19.7  25   33.5   82.2 20/12/2018
20181221   355  29.4  25  13.7  25    0.0  25  10.3  25  17.9   25  13.7  25   33.4   87.4 21/12/2018
20181222   356  27.2  25  13.0  25    0.0  25   8.4  25  23.7   25  10.0  25   27.7   66.8 22/12/2018
20181223   357  29.2  25  11.8  25    0.0  25   7.9  25  30.6   25  10.6  25   26.2   76.6 23/12/2018
20181224   358  33.3  25  14.5  25    0.0  25   8.7  25  31.1   25  10.9  25   21.3   66.1 24/12/2018
20181225   359  37.4  25  15.8  25    0.0  25  10.7  25  30.3   25   9.9  25   15.4   55.2 25/12/2018
20181226   360  40.5  25  19.0  25    0.0  25  13.0  25  29.6   25  11.2  25   14.8   51.0 26/12/2018
20181227   361  42.9  25  17.9  25    0.0  25   9.9  25  27.7   25  10.1  25   11.7   49.3 27/12/2018
20181228   362  41.9  25  25.4  25    0.0  25  14.0  25  24.6   25  10.3  25   12.6   31.8 28/12/2018
20181229   363  40.9  25  28.7  25    0.0  25  10.6  25  21.0   25  10.5  25   13.6   26.7 29/12/2018
20181230   364  36.8  25  26.1  25    0.0  25   7.8  25  11.7   25  10.6  25   17.1   31.4 30/12/2018
20181231   365  33.7  25  23.0  25    0.2  25   5.9  25  22.9   25  12.6  25   24.1   44.9 31/12/2018
20190101     1  39.2  25  18.5  25    0.1  25  10.4  25  27.5   25  15.8  25   22.4   74.2  1/01/2019
20190102     2  40.2  25  22.2  25    0.0  25  13.9  25  26.9   25  15.7  25   21.1   58.7  2/01/2019
20190103     3  40.4  25  20.2  25    0.5  25  11.7  25  25.2   25  17.8  25   23.6   75.2  3/01/2019
20190104     4  43.4  25  25.4  25    0.0  25  12.6  25  30.5   25  16.6  25   18.8   51.2  4/01/2019
20190105     5  30.7  25  22.9  25    0.0  25   6.3  25  19.0   25  15.3  25   34.6   54.8  5/01/2019
20190106     6  32.0  25  12.1  25    0.1  25   7.8  25  25.8   25  11.1  25   23.3   78.7  6/01/2019
20190107     7  35.1  25  17.5  25    0.0  25  11.7  25  23.6   25  15.3  25   27.1   76.5  7/01/2019
20190108     8  33.1  25  22.0  25    0.0  25   6.6  25  20.6   25  20.7  25   40.9   78.3  8/01/2019
20190109     9  32.6  25  16.1  25    2.3  25  10.5  25  27.8   25  16.0  25   32.5   87.5  9/01/2019
20190110    10  33.1  25  12.4  25    0.0  25   9.3  25  19.9   25  12.3  25   24.3   85.5 10/01/2019
20190111    11  37.0  25  17.7  25    0.0  25   7.3  25  26.6   25  18.0  25   28.7   88.9 11/01/2019
20190112    12  40.4  25  20.0  25    0.0  25  10.8  25  28.7   25  18.9  25   25.1   80.9 12/01/2019
20190113    13  41.9  25  25.4  25    0.0  25  10.4  25  27.1   25  14.9  25   18.3   45.9 13/01/2019
20190114    14  43.9  25  23.6  25    0.0  25  10.3  25  29.0   25  18.8  25   20.8   64.6 14/01/2019
20190115    15  45.1  25  24.5  25    0.0  25  13.3  25  24.0   25  15.0  25   15.6   48.8 15/01/2019
20190116    16  45.8  25  23.8  25    2.7  25  13.6  25  26.0   25  13.1  25   13.1   44.4 16/01/2019
