"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -36.31 143.21 (DECIMAL DEGREES), 36 18'S 143 12'E "
" * Elevation: 129 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20181101   305  37.8  25  14.4  25    0.0  25   8.2  25  20.7   25  10.7  25   16.3   65.3  1/11/2018
20181102   306  32.7  25  19.0  25    1.3  25   8.2  25  20.0   25  20.3  25   41.0   92.4  2/11/2018
20181103   307  23.4  25  10.1  25    0.4  25   5.9  25  20.5   25   9.4  25   32.7   76.1  3/11/2018
20181104   308  27.7  25   5.4  25    0.0  25   6.6  25  23.5   25  10.5  25   28.3  100.0  4/11/2018
20181105   309  29.0  25  14.9  25    0.1  25   5.8  25  14.3   25  13.8  25   34.5   81.5  5/11/2018
20181106   310  25.3  25  17.9  25    2.8  25   4.2  25  13.2   25  18.5  25   57.4   90.3  6/11/2018
20181107   311  19.5  25   7.4  25    4.3  25   4.1  25  21.8   25   9.0  25   39.7   87.5  7/11/2018
20181108   312  20.6  25   2.1  25    0.0  25   6.3  25  25.6   25   8.5  25   35.0  100.0  8/11/2018
20181109   313  24.1  25   5.5  25    0.0  25   5.6  25  18.3   25   8.6  25   28.7   95.3  9/11/2018
20181110   314  25.6  25   5.6  25    0.0  25   5.3  25  25.4   25  10.0  25   30.5  100.0 10/11/2018
20181111   315  29.0  25   7.4  25    0.0  25   4.5  25  29.7   25  10.6  25   26.5  100.0 11/11/2018
20181112   316  32.6  25  12.0  25    0.0  25   7.4  25  19.0   25   9.1  25   18.5   64.9 12/11/2018
20181113   317  35.5  25  19.9  25    0.0  25   5.8  25  15.4   25   7.8  25   13.5   33.6 13/11/2018
20181114   318  27.4  25  15.5  25    0.4  25   6.2  25  19.2   25  17.0  25   46.6   96.6 14/11/2018
20181115   319  24.0  25  10.0  25    0.1  25   6.5  25  26.7   25   9.6  25   32.2   78.2 15/11/2018
20181116   320  26.7  25   5.6  25    0.0  25   8.1  25  30.6   25   8.3  25   23.7   91.3 16/11/2018
20181117   321  27.7  25   8.2  25    0.0  25   7.8  25  28.8   25   8.2  25   22.1   75.5 17/11/2018
20181118   322  30.4  25   9.0  25    0.0  25   6.8  25  29.7   25  10.7  25   24.6   93.3 18/11/2018
20181119   323  34.0  25  16.8  25    0.0  25   8.4  25  25.1   25  11.3  25   21.2   59.1 19/11/2018
20181120   324  28.9  25  18.6  25    0.0  25   5.9  25  17.1   25  11.7  25   29.4   54.6 20/11/2018
20181121   325  23.0  25   7.9  25    1.7  25   5.8  25  24.4   25  11.2  25   39.9  100.0 21/11/2018
20181122   326  18.7  25   7.9  25    3.3  25   5.3  25  18.2   25  11.3  25   52.4  100.0 22/11/2018
20181123   327  17.9  25   7.8  25    0.8  25   3.5  25  17.7   25   9.0  25   43.9   85.1 23/11/2018
20181124   328  24.9  25   9.3  25    0.0  25   5.2  25  18.5   25  11.5  25   36.5   98.2 24/11/2018
20181125   329  24.0  25   7.8  25    0.0  25   6.8  25  23.8   25  10.2  25   34.2   96.5 25/11/2018
20181126   330  27.6  25   8.5  25    0.0  25   5.3  25  27.6   25  11.5  25   31.1  100.0 26/11/2018
20181127   331  25.3  25  12.5  25    0.0  25   4.0  25  17.0   25  11.5  25   35.7   79.4 27/11/2018
20181128   332  27.2  25  11.4  25    4.6  25   7.1  25  26.0   25  13.3  25   36.9   98.7 28/11/2018
20181129   333  27.2  25  10.6  25    0.0  25   6.7  25  22.8   25  12.0  25   33.3   93.9 29/11/2018
20181130   334  26.9  25   9.3  25    0.0  25   7.8  25  28.7   25  12.1  25   34.1  100.0 30/11/2018
20181201   335  35.2  25   7.7  25    0.0  25  10.4  25  26.7   25  10.0  25   17.6   95.2  1/12/2018
20181202   336  22.1  25  12.2  25    2.4  25   7.6  25  24.3   25  10.4  25   39.1   73.2  2/12/2018
20181203   337  26.7  25   9.9  25    0.1  25   7.9  25  24.9   25  11.9  25   34.0   97.6  3/12/2018
20181204   338  28.6  25  10.0  25    0.0  25   6.0  25  27.6   25  11.2  25   28.6   91.3  4/12/2018
20181205   339  33.4  25  11.0  25    0.0  25   6.9  25  29.9   25  11.3  25   22.0   86.1  5/12/2018
20181206   340  38.9  25  15.6  25    0.0  25  11.3  25  28.4   25  13.0  25   18.7   73.4  6/12/2018
20181207   341  40.6  25  25.3  25    0.0  25  10.9  25  24.1   25  10.7  25   14.0   33.2  7/12/2018
20181208   342  35.2  25  24.2  25    0.0  25   5.5  25  20.5   25  13.4  25   23.6   44.4  8/12/2018
20181209   343  30.0  25  17.1  25    1.0  25   3.4  25  20.4   25  16.9  25   39.8   86.7  9/12/2018
20181210   344  30.4  25  14.7  25    3.9  25   8.6  25  27.2   25  17.0  25   39.2  100.0 10/12/2018
20181211   345  33.6  25  10.6  25    0.0  25   8.3  25  31.4   25  10.9  25   21.0   85.3 11/12/2018
20181212   346  34.4  25  17.3  25    0.0  25   6.8  25  24.1   25  16.2  25   29.8   82.1 12/12/2018
20181213   347  18.2  25  15.8  25   22.3  25   3.2  25  15.1   25  17.9  25   85.7   99.8 13/12/2018
20181214   348  23.7  25  12.4  25   66.6  25   6.7  25  21.1   25  13.1  25   44.7   91.0 14/12/2018
20181215   349  24.8  25  12.2  25    0.1  25   4.3  25  21.2   25  14.4  25   46.0  100.0 15/12/2018
20181216   350  26.1  25  14.0  25    8.0  25   4.4  25  19.7   25  16.8  25   49.7  100.0 16/12/2018
20181217   351  28.8  25  14.4  25    0.5  25   7.3  25  21.2   25  17.1  25   43.2  100.0 17/12/2018
20181218   352  30.3  25  14.0  25    0.0  25   5.4  25  22.9   25  14.5  25   33.6   90.8 18/12/2018
20181219   353  29.7  25  17.7  25    0.4  25   4.0  25  24.1   25  15.3  25   36.7   75.6 19/12/2018
20181220   354  28.0  25  16.2  25    0.1  25   8.3  25  21.9   25  17.9  25   47.4   97.3 20/12/2018
20181221   355  23.7  25  12.9  25    0.1  25   5.8  25  17.7   25  11.5  25   39.3   77.3 21/12/2018
20181222   356  25.6  25  10.7  25    0.0  25   6.9  25  28.6   25  11.5  25   35.0   89.4 22/12/2018
20181223   357  30.0  25  10.5  25    0.0  25   6.3  25  31.6   25  10.3  25   24.3   81.2 23/12/2018
20181224   358  35.3  25  12.6  25    0.0  25   9.1  25  32.3   25   9.8  25   17.1   67.2 24/12/2018
20181225   359  38.0  25  15.9  25    0.0  25  10.2  25  30.8   25   9.6  25   14.5   53.2 25/12/2018
20181226   360  38.9  25  14.6  25    0.0  25   9.8  25  31.7   25  12.9  25   18.5   77.7 26/12/2018
20181227   361  42.6  25  16.9  25    0.0  25  11.6  25  26.7   25  12.5  25   14.8   65.0 27/12/2018
20181228   362  40.7  25  23.7  25    0.0  25  10.5  25  23.2   25  10.5  25   13.7   35.8 28/12/2018
20181229   363  29.6  25  23.5  25    0.0  25   2.4  25  15.8   25  15.2  25   36.7   52.5 29/12/2018
20181230   364  35.4  25  20.0  25    0.7  25   6.5  25  17.5   25  21.4  25   37.2   91.6 30/12/2018
20181231   365  36.7  25  17.1  25    0.2  25   7.8  25  27.0   25  17.2  25   27.9   88.3 31/12/2018
20190101     1  36.6  25  16.9  25    0.0  25   9.5  25  30.0   25  11.7  25   19.1   60.8  1/01/2019
20190102     2  34.8  25  15.3  25    0.0  25   9.2  25  29.1   25  14.0  25   25.2   80.6  2/01/2019
20190103     3  37.3  25  13.9  25    0.0  25   8.1  25  30.9   25  13.1  25   20.5   82.5  3/01/2019
20190104     4  45.2  25  18.8  25    0.0  25  13.4  25  31.7   25   9.3  25    9.6   42.9  4/01/2019
20190105     5  26.5  25  14.7  25    0.0  25   5.5  25  24.4   25  11.6  25   33.5   69.4  5/01/2019
20190106     6  29.6  25  10.3  25    0.1  25   7.8  25  30.8   25  10.7  25   25.8   85.5  6/01/2019
20190107     7  31.2  25  13.1  25    0.0  25   7.1  25  28.1   25  12.2  25   26.8   81.0  7/01/2019
20190108     8  33.7  25  14.7  25    0.0  25   9.7  25  28.7   25  13.7  25   26.2   82.0  8/01/2019
20190109     9  27.3  25  13.3  25    0.0  25   8.4  25  30.8   25  11.5  25   31.7   75.3  9/01/2019
20190110    10  28.5  25  10.4  25    0.0  25   6.8  25  23.3   25   8.9  25   22.9   70.6 10/01/2019
20190111    11  35.4  25  11.6  25    0.0  25   8.6  25  31.1   25  10.8  25   18.8   79.1 11/01/2019
20190112    12  41.1  25  19.3  25    0.0  25  11.4  25  29.1   25   8.3  25   10.6   37.1 12/01/2019
20190113    13  36.9  25  13.8  25    0.0  25   8.4  25  30.2   25  10.3  25   16.5   65.3 13/01/2019
20190114    14  41.1  25  15.6  25    0.0  25   9.6  25  30.0   25  16.4  25   21.0   92.6 14/01/2019
20190115    15  43.7  25  18.5  25    0.0  25   9.7  25  23.3   25  13.6  25   15.2   63.9 15/01/2019
20190116    16  43.3  25  20.0  25    0.0  25   8.1  25  22.7   25  10.6  25   12.1   45.4 16/01/2019
