"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -34.55 140.83 (DECIMAL DEGREES), 34 33'S 140 50'E "
" * Elevation: 52 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20181101   305  38.4  25  17.7  25    0.0  25   9.7  25  16.2   25   6.2  25    9.2   30.6  1/11/2018
20181102   306  34.2  25  21.7  25    0.5  25  11.8  25  22.7   25  19.2  25   35.7   74.0  2/11/2018
20181103   307  26.3  25  10.7  25    0.0  25   8.0  25  20.1   25  11.9  25   34.8   92.5  3/11/2018
20181104   308  32.5  25   9.1  25    0.0  25   6.9  25  21.0   25  11.1  25   22.7   96.1  4/11/2018
20181105   309  28.3  25  16.8  25    3.4  25   5.0  25  15.0   25  19.8  25   51.5  100.0  5/11/2018
20181106   310  23.4  25  18.2  25    1.2  25   5.0  25  15.2   25  19.0  25   66.0   91.0  6/11/2018
20181107   311  18.8  25   8.7  25    0.0  25   5.8  25  21.6   25   8.9  25   41.0   79.2  7/11/2018
20181108   312  21.5  25   3.7  25    0.6  25   6.7  25  26.6   25   9.1  25   35.5  100.0  8/11/2018
20181109   313  27.3  25   5.3  25    0.0  25   8.6  25  28.6   25   8.7  25   24.0   97.7  9/11/2018
20181110   314  27.5  25   6.4  25    0.0  25   7.3  25  28.7   25   9.7  25   26.4  100.0 10/11/2018
20181111   315  31.9  25   9.4  25    0.0  25   7.5  25  30.0   25   9.7  25   20.5   82.3 11/11/2018
20181112   316  34.0  25  13.5  25    0.0  25   7.2  25  17.4   25   6.9  25   13.0   44.6 12/11/2018
20181113   317  28.3  25  17.6  25    0.0  25   4.4  25  14.4   25  12.1  25   31.5   60.2 13/11/2018
20181114   318  27.8  25  14.7  25    0.2  25   7.8  25  23.2   25  13.2  25   35.3   79.0 14/11/2018
20181115   319  26.0  25   9.4  25    0.0  25   9.0  25  28.9   25   9.5  25   28.3   80.6 15/11/2018
20181116   320  28.4  25   7.5  25    0.0  25  10.7  25  30.0   25   7.4  25   19.1   71.4 16/11/2018
20181117   321  28.3  25   9.0  25    0.0  25   8.9  25  29.6   25   8.6  25   22.4   75.0 17/11/2018
20181118   322  31.6  25  10.8  25    0.0  25   7.7  25  30.2   25   8.5  25   18.3   65.7 18/11/2018
20181119   323  36.5  25  11.8  25    0.0  25   9.9  25  21.6   25   8.3  25   13.6   60.0 19/11/2018
20181120   324  22.0  25  18.5  25    0.0  25   3.6  25  12.4   25  13.7  25   51.8   64.4 20/11/2018
20181121   325  22.8  25   8.6  25    0.1  25   8.9  25  21.5   25  11.1  25   40.0   99.4 21/11/2018
20181122   326  19.1  25   9.3  25    2.4  25   6.4  25  22.0   25  10.4  25   47.1   88.8 22/11/2018
20181123   327  20.7  25   7.7  25    0.6  25   7.1  25  22.7   25   8.2  25   33.6   78.1 23/11/2018
20181124   328  22.7  25   8.9  25    0.0  25   5.3  25  15.8   25   9.8  25   35.5   86.0 24/11/2018
20181125   329  26.3  25  10.1  25    0.6  25   7.8  25  27.8   25  12.2  25   35.7   98.8 25/11/2018
20181126   330  26.4  25   8.6  25    0.0  25   7.4  25  23.0   25  11.4  25   33.1  100.0 26/11/2018
20181127   331  23.2  25  14.4  25    0.0  25   4.3  25  12.7   25  12.5  25   44.0   76.2 27/11/2018
20181128   332  24.1  25  10.9  25    2.8  25   7.6  25  26.5   25  11.8  25   39.3   90.6 28/11/2018
20181129   333  26.8  25  10.1  25    0.0  25   8.5  25  28.6   25  11.6  25   32.9   93.9 29/11/2018
20181130   334  28.4  25   8.7  25    0.0  25   9.4  25  29.6   25  11.9  25   30.8  100.0 30/11/2018
20181201   335  36.5  25  12.3  25    0.0  25  10.5  25  23.3   25   8.3  25   13.6   58.1  1/12/2018
20181202   336  24.6  25  13.2  25    0.9  25   9.4  25  27.4   25   8.2  25   26.5   54.1  2/12/2018
20181203   337  27.8  25   9.8  25    0.0  25   8.6  25  29.4   25  11.7  25   31.3   96.6  3/12/2018
20181204   338  29.9  25  12.4  25    0.0  25   8.2  25  27.3   25  12.9  25   30.6   89.6  4/12/2018
20181205   339  34.4  25  14.5  25    0.0  25   8.7  25  31.5   25  10.6  25   19.5   64.2  5/12/2018
20181206   340  39.7  25  14.7  25    0.0  25  12.3  25  29.7   25  10.7  25   14.7   64.0  6/12/2018
20181207   341  41.2  25  20.7  25    0.0  25  12.4  25  23.3   25  10.6  25   13.5   43.4  7/12/2018
20181208   342  33.7  25  22.9  25    0.5  25   7.2  25  13.5   25  13.5  25   25.8   48.4  8/12/2018
20181209   343  32.0  25  17.6  25    0.1  25   5.7  25  11.4   25  18.2  25   38.3   90.5  9/12/2018
20181210   344  32.6  25  16.7  25    0.2  25   9.8  25  22.2   25  14.1  25   28.7   74.2 10/12/2018
20181211   345  34.3  25  16.6  25    0.0  25   8.6  25  25.0   25  10.2  25   18.9   54.0 11/12/2018
20181212   346  34.9  25  22.1  25    0.0  25   8.0  25  14.8   25  16.9  25   30.2   63.6 12/12/2018
20181213   347  18.2  25  14.6  25    3.7  25   7.2  25  13.8   25  15.6  25   74.7   93.9 13/12/2018
20181214   348  21.6  25  11.5  25   24.1  25   5.7  25   9.8   25  13.7  25   53.1  100.0 14/12/2018
20181215   349  26.1  25  11.4  25    0.4  25   5.1  25  22.2   25  12.5  25   37.0   92.8 15/12/2018
20181216   350  25.6  25  15.3  25    0.3  25   4.6  25  14.6   25  18.4  25   56.1  100.0 16/12/2018
20181217   351  30.4  25  16.0  25    0.0  25   8.2  25  24.3   25  16.4  25   37.8   90.3 17/12/2018
20181218   352  34.4  25  16.8  25    0.0  25   9.6  25  22.4   25  17.3  25   31.8   90.5 18/12/2018
20181219   353  36.2  25  21.2  25    0.0  25  12.9  25  27.6   25  13.3  25   22.1   52.9 19/12/2018
20181220   354  30.0  25  18.4  25    0.0  25  11.6  25  28.7   25  16.7  25   39.4   78.9 20/12/2018
20181221   355  25.1  25  12.4  25    0.0  25  10.1  25  27.3   25   9.6  25   30.1   66.7 21/12/2018
20181222   356  27.0  25  11.3  25    0.0  25   9.7  25  30.3   25  11.4  25   32.0   85.2 22/12/2018
20181223   357  30.7  25  11.7  25    0.0  25   6.5  25  32.3   25  10.8  25   24.5   78.6 23/12/2018
20181224   358  36.3  25  12.8  25    0.0  25  10.6  25  32.1   25   8.6  25   14.2   58.2 24/12/2018
20181225   359  39.3  25  15.6  25    0.0  25  11.7  25  32.0   25   9.5  25   13.4   53.6 25/12/2018
20181226   360  41.5  25  17.1  25    0.0  25  12.7  25  32.1   25  12.0  25   15.0   61.6 26/12/2018
20181227   361  44.1  25  17.4  25    0.0  25  14.9  25  26.8   25  11.0  25   12.0   55.4 27/12/2018
20181228   362  43.7  25  24.2  25    0.0  25  15.2  25  21.0   25  10.1  25   11.3   33.5 28/12/2018
20181229   363  31.7  25  23.7  25    0.0  25   4.0  25  12.8   25  14.3  25   30.6   48.8 29/12/2018
20181230   364  32.8  25  18.0  25    0.0  25   7.0  25  22.2   25  16.9  25   34.0   81.9 30/12/2018
20181231   365  36.3  25  17.0  25    0.1  25   9.7  25  28.2   25  14.7  25   24.3   75.9 31/12/2018
20190101     1  36.8  25  14.3  25    0.0  25  12.8  25  31.1   25  11.2  25   18.0   68.8  1/01/2019
20190102     2  36.2  25  15.9  25    0.0  25  10.6  25  30.6   25  13.6  25   22.6   75.3  2/01/2019
20190103     3  39.9  25  17.7  25    0.0  25   9.2  25  31.4   25  12.5  25   17.0   61.8  3/01/2019
20190104     4  44.9  25  20.9  25    0.0  25  15.0  25  29.2   25  12.0  25   12.6   48.6  4/01/2019
20190105     5  27.4  25  15.1  25    0.0  25   9.7  25  26.7   25  12.4  25   34.0   72.3  5/01/2019
20190106     6  30.3  25  11.1  25    0.0  25   9.3  25  29.0   25  11.1  25   25.7   84.1  6/01/2019
20190107     7  31.1  25  13.8  25    0.0  25   9.0  25  23.0   25  12.3  25   27.2   78.0  7/01/2019
20190108     8  33.0  25  13.3  25    0.0  25  10.9  25  30.2   25  13.7  25   27.2   89.8  8/01/2019
20190109     9  28.3  25  13.4  25    0.0  25  10.0  25  30.6   25  12.4  25   32.2   80.7  9/01/2019
20190110    10  30.2  25  11.4  25    0.0  25   7.0  25  25.2   25   9.0  25   21.0   66.8 10/01/2019
20190111    11  38.7  25  13.8  25    0.0  25  10.9  25  28.6   25   7.4  25   10.8   46.9 11/01/2019
20190112    12  39.4  25  18.7  25    0.0  25  15.4  25  31.3   25   8.7  25   12.2   40.4 12/01/2019
20190113    13  37.7  25  14.0  25    0.0  25   9.7  25  30.6   25   9.9  25   15.2   62.0 13/01/2019
20190114    14  42.9  25  15.7  25    0.0  25  11.5  25  30.7   25  13.3  25   15.5   74.6 14/01/2019
20190115    15  44.6  25  19.7  25    0.0  25  12.7  25  24.7   25   9.5  25   10.1   41.4 15/01/2019
20190116    16  43.0  25  18.9  25    0.0  25  10.5  25  20.0   25  10.0  25   11.6   45.8 16/01/2019
