"19970526" 365 -99.9 999 -99.9 999 9999.9 999 999.9 999 999.9  999 999.9 999 9999.9 9999.9 26/05/1997"
""
" This file is SPACE DELIMITED for easy import into both spreadsheets and programs."
"The first line 19970526 contains dummy data and is provided to allow spreadsheets to sense the columns"
" To read into a spreadsheet select DELIMITED and SPACE."
" "
" "
"=========  The following essential information and notes should be kept in the data file =========="
" "
"The Data Drill system and data are copyright to the Queensland Government Department of Environment and Science"
"SILO data, with the exception of Patched Point data for Queensland, are supplied to the licencee only and may not be given, lent, or sold to any other party"
" "
"Notes:"
" * Data Drill for Lat, Long: -31.62 148.68 (DECIMAL DEGREES), 31 37'S 148 41'E "
" * Elevation: 291 m "
" * Extracted from SILO on 20210504 "
" * Please read the documentation on the Data Drill at http://www.longpaddock.qld.gov.au/silo"
" "
" * As evaporation is read at 9am, it has been shifted to the day before"
"    ie The evaporation measured on 20 April is in row for 19 April"
" * The 6 Source columns Smx, Smn, Srn, Sev, Ssl, Svp indicate the source of the data to their left, namely Max temp, Min temp, Rainfall, Evaporation, Radiation and Vapour Pressure respectively"
"   25 = interpolated daily observations,     75 = interpolated long term average"
" "
" * Relative Humidity has been calculated using 9am VP, T.Max and T.Min"
"   RHmaxT is estimated Relative Humidity at Temperature T.Max"
"   RHminT is estimated Relative Humidity at Temperature T.Min"
" * The accuracy of the data depends on many factors including date, location, and variable."
"   For consistency data is supplied using one decimal place, however it is not accurate to that precision."
"   Further information is available from http://www.longpaddock.qld.gov.au/silo"
"===================================================================================================="
" "
Date       Day T.Max Smx T.Min Smn Rain   Srn  Evap Sev Radn   Ssl VP    Svp RHmaxT RHminT Date2
(yyyymmdd)  ()  (oC)  ()  (oC)  ()   (mm)  ()  (mm)  () (MJ/m2) () (hPa)  ()   (%)    (%)  (ddmmyyyy)
20151101   305  28.7  25  15.5  25   11.5  25   5.0  25  22.2   25  17.6  25   44.7  100.0  1/11/2015
20151102   306  31.4  25  17.4  25    8.4  25   5.3  25  16.0   25  21.9  25   47.7  100.0  2/11/2015
20151103   307  30.3  25  18.1  25    0.0  25   4.4  25  14.8   25  19.9  25   46.1   95.9  3/11/2015
20151104   308  25.2  25  18.3  25    1.8  25   3.3  25  12.8   25  21.9  25   68.3  100.0  4/11/2015
20151105   309  29.2  25  16.8  25   18.9  25   4.2  25  14.5   25  20.9  25   51.6  100.0  5/11/2015
20151106   310  29.4  25  17.2  25    6.8  25   3.6  25  17.7   25  21.3  25   52.0  100.0  6/11/2015
20151107   311  29.7  25  15.2  25    0.0  25   8.9  25  27.9   25  18.0  25   43.2  100.0  7/11/2015
20151108   312  27.3  25  13.2  25    0.0  25   7.4  25  22.4   25  14.8  25   40.8   97.6  8/11/2015
20151109   313  28.3  25  13.2  25    0.0  25   6.9  25  26.6   25  13.9  25   36.1   91.7  9/11/2015
20151110   314  31.7  25  14.0  25    0.0  25   8.2  25  27.6   25  15.8  25   33.8   98.9 10/11/2015
20151111   315  31.1  25  17.6  25    0.0  25   7.0  25  20.5   25  12.8  25   28.3   63.6 11/11/2015
20151112   316  28.7  25  18.5  25    0.0  25   4.7  25  19.7   25  15.8  25   40.1   74.2 12/11/2015
20151113   317  31.3  25  15.6  25    6.6  25   5.6  25  22.1   25  19.0  25   41.6  100.0 13/11/2015
20151114   318  28.0  25  15.9  25    3.5  25   5.2  25  21.5   25  19.0  25   50.3  100.0 14/11/2015
20151115   319  26.3  25  13.0  25    0.0  25   5.8  25  21.2   25  14.1  25   41.2   94.2 15/11/2015
20151116   320  27.1  25  11.9  25    0.0  25   6.9  25  27.2   25  12.7  25   35.4   91.2 16/11/2015
20151117   321  29.7  25  13.4  25    0.0  25   6.3  25  28.2   25  14.2  25   34.1   92.4 17/11/2015
20151118   322  35.6  25  14.6  25    0.0  25   8.5  25  29.6   25  13.5  25   23.2   81.3 18/11/2015
20151119   323  38.7  25  17.6  25    0.0  25  10.4  25  28.1   25  12.4  25   18.0   61.6 19/11/2015
20151120   324  40.1  25  18.2  25    0.0  25  13.1  25  29.7   25  13.4  25   18.1   64.1 20/11/2015
20151121   325  30.6  25  19.2  25    0.0  25  10.3  25  28.5   25  11.4  25   26.0   51.3 21/11/2015
20151122   326  31.5  25  14.8  25    0.0  25   7.3  25  28.9   25  16.5  25   35.7   98.1 22/11/2015
20151123   327  30.1  25  13.4  25    0.0  25   9.3  25  30.0   25   9.4  25   22.0   61.2 23/11/2015
20151124   328  31.8  25  12.6  25    0.0  25   8.5  25  30.3   25  12.6  25   26.8   86.4 24/11/2015
20151125   329  36.0  25  11.2  25    0.0  25  10.5  25  30.7   25   8.4  25   14.1   63.2 25/11/2015
20151126   330  36.5  25  21.7  25    0.0  25  12.4  25  26.8   25  13.4  25   21.9   51.6 26/11/2015
20151127   331  29.5  25  12.7  25    0.0  25   9.0  25  29.6   25   7.9  25   19.2   53.8 27/11/2015
20151128   332  31.4  25  13.8  25    0.0  25   8.4  25  24.3   25  11.4  25   24.8   72.3 28/11/2015
20151129   333  32.2  25  14.8  25    0.0  25   8.7  25  28.5   25  16.3  25   33.9   96.9 29/11/2015
20151130   334  35.0  25  13.3  25    0.0  25  10.1  25  30.2   25   8.8  25   15.6   57.7 30/11/2015
20151201   335  38.2  25  16.3  25    0.0  25  10.6  25  19.0   25   9.1  25   13.6   49.1  1/12/2015
20151202   336  28.4  25  18.1  25    0.1  25  10.4  25  25.6   25  10.1  25   26.1   48.7  2/12/2015
20151203   337  30.1  25  13.2  25    0.0  25   9.0  25  26.0   25  11.3  25   26.5   74.5  3/12/2015
20151204   338  30.8  25  13.5  25    0.0  25   8.0  25  30.8   25  11.4  25   25.7   73.7  4/12/2015
20151205   339  33.7  25  15.3  25    0.0  25   9.5  25  29.7   25  14.1  25   27.0   81.2  5/12/2015
20151206   340  36.1  25  17.8  25    0.0  25  11.0  25  29.9   25  12.1  25   20.3   59.4  6/12/2015
20151207   341  36.7  25  20.7  25    0.0  25  11.8  25  25.8   25  13.7  25   22.2   56.1  7/12/2015
20151208   342  33.7  25  22.2  25    0.1  25   7.2  25  18.3   25  16.1  25   30.8   60.2  8/12/2015
20151209   343  34.7  25  20.1  25    3.4  25   8.4  25  23.7   25  21.9  25   39.6   93.1  9/12/2015
20151210   344  36.8  25  19.7  25    0.0  25   9.2  25  26.5   25  20.0  25   32.2   87.2 10/12/2015
20151211   345  35.9  25  18.6  25    0.0  25  12.7  25  25.3   25  13.8  25   23.4   64.4 11/12/2015
20151212   346  29.9  25  16.9  25    0.0  25   9.1  25  28.1   25   8.1  25   19.2   42.1 12/12/2015
20151213   347  33.7  25  13.2  25    0.0  25   8.9  25  25.6   25  13.8  25   26.4   91.0 13/12/2015
20151214   348  36.0  25  16.0  25    0.0  25   9.6  25  26.1   25  16.0  25   26.9   88.1 14/12/2015
20151215   349  36.9  25  18.6  25    0.0  25   8.2  25  21.5   25  13.3  25   21.3   62.1 15/12/2015
20151216   350  33.8  25  20.9  25    0.0  25   7.8  25  22.0   25  15.4  25   29.3   62.3 16/12/2015
20151217   351  30.9  25  14.2  25    8.3  25   7.9  25  25.9   25  16.3  25   36.5  100.0 17/12/2015
20151218   352  33.4  25  17.9  25    0.0  25   8.9  25  29.0   25  16.7  25   32.5   81.5 18/12/2015
20151219   353  36.3  25  18.6  25    0.0  25  10.5  25  28.8   25  15.1  25   25.0   70.5 19/12/2015
20151220   354  37.0  25  21.5  25    0.0  25  12.3  25  27.7   25  14.7  25   23.4   57.3 20/12/2015
20151221   355  36.8  25  21.3  25    0.0  25   8.6  25  18.4   25  17.0  25   27.4   67.1 21/12/2015
20151222   356  21.7  25  19.6  25    1.5  25   5.5  25  12.0   25  20.6  25   79.4   90.4 22/12/2015
20151223   357  27.2  25  17.8  25    5.3  25   5.4  25  14.2   25  17.4  25   48.2   85.4 23/12/2015
20151224   358  29.0  25  16.5  25    0.0  25   8.1  25  20.6   25  15.9  25   39.7   84.8 24/12/2015
20151225   359  31.9  25  17.0  25    0.0  25   7.4  25  25.1   25  15.3  25   32.4   79.0 25/12/2015
20151226   360  27.5  25  18.9  25    0.0  25   4.5  25  19.7   25  19.7  25   53.7   90.3 26/12/2015
20151227   361  28.5  25  14.9  25    5.5  25   9.6  25  23.4   25  10.5  25   27.0   62.0 27/12/2015
20151228   362  28.5  25  13.0  25    0.0  25   9.6  25  24.5   25  13.0  25   33.4   86.9 28/12/2015
20151229   363  30.1  25  12.6  25    0.0  25   9.5  25  25.3   25  12.3  25   28.8   84.4 29/12/2015
20151230   364  33.1  25  14.2  25    0.0  25   9.1  25  26.6   25  10.6  25   21.0   65.5 30/12/2015
20151231   365  34.6  25  17.1  25    0.0  25   8.5  25  25.5   25  11.0  25   20.0   56.4 31/12/2015
20160101     1  34.0  25  19.1  25    0.0  25   9.7  25  22.4   25  13.6  25   25.6   61.5  1/01/2016
20160102     2  31.9  25  21.2  25    0.0  25   6.4  25  21.1   25  13.4  25   28.3   53.2  2/01/2016
20160103     3  21.4  25  18.3  25    0.4  25   3.7  25  13.6   25  17.0  25   66.7   80.9  3/01/2016
20160104     4  25.2  25  16.4  25    2.1  25   2.8  25  10.3   25  18.8  25   58.7  100.0  4/01/2016
20160105     5  26.7  25  17.8  25   15.1  25   5.0  25  18.8   25  20.7  25   59.1  100.0  5/01/2016
20160106     6  28.4  25  16.0  25    5.8  25   6.7  25  22.1   25  17.0  25   43.9   93.6  6/01/2016
20160107     7  30.0  25  13.9  25    0.0  25   7.9  25  26.7   25  13.3  25   31.3   83.8  7/01/2016
20160108     8  32.2  25  14.8  25    0.0  25   8.7  25  29.2   25  12.0  25   25.0   71.3  8/01/2016
20160109     9  34.6  25  17.5  25    0.0  25   7.8  25  24.7   25  13.7  25   24.9   68.5  9/01/2016
20160110    10  37.5  25  19.1  25    0.0  25  10.1  25  29.8   25  15.3  25   23.7   69.2 10/01/2016
20160111    11  39.2  25  20.6  25    0.0  25  10.7  25  26.9   25  16.6  25   23.5   68.4 11/01/2016
20160112    12  39.0  25  24.0  25    0.0  25   8.9  25  21.1   25  14.5  25   20.7   48.6 12/01/2016
20160113    13  41.5  25  22.8  25    0.0  25  11.1  25  26.5   25  17.4  25   21.8   62.7 13/01/2016
20160114    14  40.1  25  25.5  25    0.0  25  10.8  25  23.2   25  17.2  25   23.2   52.7 14/01/2016
20160115    15  23.1  25  14.3  25    9.5  25   5.8  25  18.0   25  14.4  25   51.0   88.4 15/01/2016
20160116    16  28.0  25  12.6  25    0.8  25   7.0  25  17.0   25  12.6  25   33.3   86.4 16/01/2016
